x y_gt y_pr
0.0 0.04446 0.0
0.5 0.1462 0.0737
1.0 0.301 0.1807
1.499 0.489 0.2925
1.999 0.598 0.4094
2.498 0.714 0.531
2.998 0.8667 0.657
3.498 1.017 0.787
3.998 1.11 0.92
4.5 1.24 1.055
5.0 1.382 1.19
5.5 1.507 1.326
5.996 1.611 1.461
6.496 1.802 1.596
6.996 1.906 1.7295
7.496 2.025 1.862
7.996 2.168 1.995
8.49 2.318 2.127
8.99 2.445 2.258
9.49 2.572 2.387
9.99 2.727 2.516
10.47 2.646 2.484
10.97 2.604 2.475
11.47 2.555 2.467
11.97 2.51 2.46
12.47 2.504 2.453
12.96 2.49 2.447
13.46 2.443 2.441
13.96 2.459 2.434
14.46 2.424 2.428
14.96 2.39 2.422
15.46 2.395 2.416
15.96 2.393 2.41
16.47 2.363 2.404
16.97 2.357 2.398
17.47 2.385 2.393
17.97 2.346 2.387
18.47 2.324 2.383
18.97 2.361 2.377
19.47 2.318 2.371
19.97 2.3 2.367
20.47 2.307 2.361
20.95 2.293 2.355
21.45 2.27 2.352
21.95 2.314 2.346
22.45 2.291 2.342
22.95 2.277 2.338
23.45 2.287 2.332
23.95 2.295 2.328
24.45 2.232 2.324
24.95 2.252 2.32
25.45 2.297 2.314
25.95 2.266 2.31
26.45 2.227 2.307
26.95 2.273 2.303
27.45 2.234 2.299
27.95 2.223 2.295
28.45 2.24 2.291
28.95 2.252 2.287
29.45 2.203 2.283
29.95 2.244 2.28
30.45 2.244 2.277
30.95 2.201 2.273
31.45 2.227 2.27
31.95 2.258 2.266
32.44 2.201 2.264
32.94 2.182 2.26
33.44 2.234 2.256
33.94 2.217 2.254
34.44 2.172 2.25
34.94 2.229 2.248
35.44 2.217 2.244
35.94 2.201 2.242
36.44 2.21 2.238
36.94 2.205 2.236
37.44 2.188 2.232
37.94 2.193 2.23
38.44 2.207 2.229
38.94 2.174 2.225
39.44 2.182 2.223
39.94 2.203 2.22
40.44 2.203 2.219
40.94 2.176 2.215
41.44 2.201 2.213
41.94 2.184 2.21
42.44 2.17 2.209
42.94 2.182 2.207
43.44 2.203 2.205
43.94 2.184 2.203
44.44 2.178 2.201
44.94 2.18 2.197
45.44 2.158 2.195
45.94 2.172 2.195
46.44 2.19 2.193
46.94 2.168 2.191
47.44 2.158 2.19
47.94 2.168 2.188
48.44 2.176 2.186
48.94 2.166 2.184
49.44 2.174 2.182
49.94 2.146 2.18
50.44 2.158 2.18
50.94 2.184 2.178
51.44 2.17 2.176
51.94 2.146 2.174
52.44 2.143 2.172
52.94 2.17 2.172
53.44 2.139 2.17
53.94 2.156 2.168
54.44 2.146 2.168
54.94 2.162 2.166
55.44 2.148 2.164
55.94 2.164 2.164
56.44 2.148 2.162
56.94 2.168 2.16
57.44 2.148 2.16
57.94 2.14 2.158
58.44 2.139 2.158
58.94 2.164 2.156
59.44 2.152 2.154
59.94 2.133 2.154
60.44 2.14 2.152
60.94 2.154 2.152
61.44 2.113 2.15
61.94 2.152 2.15
62.44 2.16 2.148
62.94 2.152 2.148
63.44 2.133 2.146
63.94 2.156 2.146
64.44 2.135 2.145
64.94 2.12 2.145
65.44 2.154 2.145
65.94 2.166 2.143
66.44 2.133 2.143
66.94 2.139 2.14
67.44 2.158 2.14
67.94 2.113 2.14
68.44 2.17 2.139
68.94 2.156 2.139
69.44 2.115 2.137
69.94 2.137 2.137
70.44 2.16 2.137
70.94 2.102 2.135
71.44 2.123 2.135
71.94 2.158 2.135
72.44 2.121 2.133
72.94 2.102 2.133
73.44 2.152 2.133
73.94 2.133 2.13
74.44 2.107 2.13
74.94 2.14 2.13
75.44 2.152 2.129
75.94 2.1 2.129
76.44 2.145 2.129
76.94 2.139 2.129
77.44 2.104 2.127
77.94 2.13 2.127
78.44 2.16 2.127
78.94 2.1 2.125
79.44 2.121 2.125
79.94 2.158 2.125
80.44 2.111 2.125
80.94 2.105 2.123
81.44 2.15 2.123
81.94 2.121 2.123
82.44 2.096 2.123
82.94 2.143 2.123
83.44 2.13 2.121
83.94 2.09 2.121
84.44 2.143 2.121
84.94 2.13 2.121
85.44 2.09 2.12
85.94 2.12 2.12
86.44 2.156 2.12
86.94 2.088 2.12
87.44 2.102 2.12
87.94 2.145 2.117
88.44 2.117 2.117
88.94 2.096 2.117
89.44 2.15 2.117
89.94 2.123 2.117
90.44 2.082 2.115
90.94 2.13 2.115
91.44 2.127 2.115
91.94 2.088 2.115
92.44 2.117 2.115
92.94 2.123 2.115
93.44 2.098 2.113
93.94 2.12 2.113
94.44 2.137 2.113
94.94 2.1 2.113
95.4 2.117 2.113
95.9 2.135 2.113
96.4 2.082 2.111
96.9 2.123 2.111
97.4 2.121 2.111
97.9 2.076 2.111
98.4 2.107 2.111
98.9 2.135 2.111
99.4 2.096 2.111
99.9 2.104 2.11
100.4 2.143 2.11
100.9 2.098 2.11
101.4 2.076 2.11
101.9 2.154 2.11
102.4 2.111 2.11
102.9 2.107 2.11
103.4 2.127 2.11
103.9 2.117 2.107
104.4 2.084 2.107
104.9 2.12 2.107
105.4 2.117 2.107
105.9 2.105 2.107
106.4 2.127 2.107
106.9 2.121 2.107
107.4 2.078 2.107
107.9 2.09 2.107
108.4 2.123 2.105
108.9 2.094 2.105
109.4 2.105 2.105
109.9 2.125 2.105
110.4 2.104 2.105
110.9 2.078 2.105
111.4 2.107 2.105
111.9 2.123 2.105
112.4 2.102 2.105
112.9 2.121 2.105
113.4 2.115 2.104
113.9 2.105 2.104
114.4 2.107 2.104
114.9 2.11 2.104
115.4 2.105 2.104
115.9 2.104 2.104
116.4 2.121 2.104
116.9 2.096 2.104
117.4 2.113 2.104
117.9 2.104 2.104
118.4 2.11 2.104
118.9 2.102 2.102
119.4 2.123 2.102
119.9 2.092 2.102
120.4 2.086 2.102
120.9 2.125 2.102
121.4 2.107 2.102
121.9 2.076 2.102
122.4 2.104 2.102
122.9 2.127 2.102
123.4 2.104 2.102
123.9 2.088 2.102
124.4 2.121 2.102
124.9 2.088 2.1
125.4 2.102 2.1
125.9 2.111 2.1
126.4 2.129 2.1
126.9 2.082 2.1
127.4 2.127 2.1
127.9 2.086 2.1
128.4 2.08 2.1
128.9 2.102 2.1
129.4 2.102 2.1
129.9 2.072 2.1
130.4 2.098 2.1
130.9 2.121 2.1
131.4 2.092 2.1
131.9 2.09 2.1
132.4 2.135 2.098
132.9 2.102 2.098
133.4 2.09 2.098
133.9 2.105 2.098
134.4 2.113 2.098
134.9 2.09 2.098
135.4 2.11 2.098
135.9 2.11 2.098
136.4 2.074 2.098
136.9 2.111 2.098
137.4 2.107 2.098
137.9 2.092 2.098
138.4 2.096 2.098
138.9 2.115 2.098
139.4 2.092 2.098
139.9 2.086 2.098
140.4 2.098 2.098
140.9 2.082 2.098
141.4 2.113 2.096
141.9 2.107 2.096
142.4 2.096 2.096
142.9 2.066 2.096
143.4 2.123 2.096
143.9 2.107 2.096
144.4 2.07 2.096
144.9 2.09 2.096
145.4 2.127 2.096
145.9 2.086 2.096
146.4 2.096 2.096
146.9 2.094 2.096
147.4 2.086 2.096
147.9 2.1 2.096
148.4 2.098 2.096
148.9 2.086 2.096
149.4 2.076 2.096
149.9 2.113 2.096
150.4 2.086 2.096
150.9 2.066 2.096
151.4 2.102 2.096
151.9 2.146 2.094
152.4 2.072 2.094
152.9 2.08 2.094
153.4 2.121 2.094
153.9 2.088 2.094
154.4 2.078 2.094
154.9 2.102 2.094
155.4 2.082 2.094
155.9 2.088 2.094
156.4 2.098 2.094
156.9 2.086 2.094
157.4 2.06 2.094
157.9 2.117 2.094
158.4 2.113 2.094
158.9 2.078 2.094
159.4 2.076 2.094
159.9 2.125 2.094
160.4 2.09 2.094
160.9 2.102 2.094
161.4 2.1 2.094
161.9 2.094 2.094
162.4 2.09 2.094
162.9 2.107 2.094
163.4 2.082 2.094
163.9 2.068 2.094
164.4 2.107 2.094
164.9 2.113 2.094
165.4 2.086 2.092
165.9 2.086 2.092
166.4 2.104 2.092
166.9 2.09 2.092
167.4 2.078 2.092
167.9 2.1 2.092
168.4 2.088 2.092
168.9 2.086 2.092
169.4 2.123 2.092
169.9 2.111 2.092
170.4 2.062 2.092
170.9 2.104 2.092
171.4 2.123 2.092
171.9 2.082 2.092
172.4 2.078 2.092
172.9 2.098 2.092
173.4 2.09 2.092
173.9 2.068 2.092
174.4 2.117 2.092
174.9 2.088 2.092
175.4 2.057 2.092
175.9 2.074 2.092
176.4 2.127 2.092
176.9 2.07 2.092
177.4 2.076 2.092
177.9 2.086 2.092
178.4 2.094 2.092
178.9 2.096 2.092
179.4 2.115 2.092
179.9 2.104 2.092
180.4 2.059 2.092
180.9 2.104 2.092
181.4 2.1 2.092
181.9 2.072 2.09
182.4 2.092 2.09
182.9 2.094 2.09
183.4 2.08 2.09
183.9 2.084 2.09
184.4 2.11 2.09
184.9 2.074 2.09
185.4 2.072 2.09
185.9 2.098 2.09
186.4 2.104 2.09
186.9 2.059 2.09
187.4 2.09 2.09
187.9 2.104 2.09
188.4 2.07 2.09
188.9 2.102 2.09
189.4 2.115 2.09
189.9 2.076 2.09
190.4 2.08 2.09
190.9 2.1 2.09
191.4 2.09 2.09
191.9 2.1 2.09
192.4 2.096 2.09
192.9 2.088 2.09
193.4 2.074 2.09
193.9 2.1 2.09
194.4 2.12 2.09
194.9 2.072 2.09
195.4 2.096 2.09
195.9 2.1 2.09
196.4 2.08 2.09
196.9 2.086 2.09
197.4 2.11 2.09
197.9 2.072 2.09
198.4 2.05 2.09
198.9 2.092 2.09
199.4 2.092 2.09
199.9 2.088 2.09
200.4 2.074 2.09
200.9 2.104 2.09
201.4 2.074 2.09
201.9 2.096 2.09
202.4 2.1 2.09
202.9 2.084 2.09
203.4 2.07 2.09
203.9 2.111 2.09
204.4 2.096 2.088
204.9 2.074 2.088
205.4 2.1 2.088
205.9 2.096 2.088
206.4 2.084 2.088
206.9 2.078 2.088
207.4 2.111 2.088
207.9 2.078 2.088
208.4 2.082 2.088
208.9 2.082 2.088
209.4 2.084 2.088
209.9 2.084 2.088
210.4 2.121 2.088
210.9 2.08 2.088
211.4 2.08 2.088
211.9 2.094 2.088
212.4 2.111 2.088
212.9 2.084 2.088
213.4 2.072 2.088
213.9 2.096 2.088
214.4 2.082 2.088
214.9 2.08 2.088
215.4 2.074 2.088
215.9 2.088 2.088
216.4 2.09 2.088
216.9 2.1 2.088
217.4 2.105 2.088
217.9 2.053 2.088
218.4 2.104 2.088
218.9 2.096 2.088
219.4 2.078 2.088
219.9 2.06 2.088
220.4 2.086 2.088
220.9 2.068 2.088
221.4 2.1 2.088
221.9 2.117 2.088
222.4 2.078 2.088
222.9 2.094 2.088
223.4 2.113 2.088
223.9 2.11 2.088
224.4 2.062 2.088
224.9 2.102 2.088
225.4 2.102 2.088
225.9 2.084 2.088
226.4 2.092 2.088
226.9 2.102 2.088
227.4 2.066 2.088
227.9 2.08 2.088
228.4 2.11 2.088
228.9 2.084 2.088
229.4 2.072 2.088
229.9 2.082 2.088
230.4 2.08 2.088
230.9 2.068 2.088
231.4 2.115 2.088
231.9 2.094 2.088
232.4 2.055 2.088
232.9 2.104 2.088
233.4 2.127 2.088
233.9 2.066 2.088
234.4 2.104 2.088
234.9 2.104 2.088
235.4 2.064 2.086
235.9 2.1 2.086
236.4 2.076 2.086
236.9 2.074 2.086
237.4 2.111 2.086
237.9 2.107 2.086
238.4 2.064 2.086
238.9 2.092 2.086
239.4 2.127 2.086
239.9 2.078 2.086
240.4 2.074 2.086
240.9 2.105 2.086
241.4 2.074 2.086
241.9 2.072 2.086
242.4 2.113 2.086
242.9 2.078 2.086
243.4 2.078 2.086
243.9 2.127 2.086
244.4 2.09 2.086
244.9 2.059 2.086
245.4 2.086 2.086
245.9 2.102 2.086
246.4 2.068 2.086
246.9 2.09 2.086
247.4 2.094 2.086
247.9 2.084 2.086
248.4 2.102 2.086
248.9 2.094 2.086
249.4 2.062 2.086
249.9 2.086 2.086
250.4 2.113 2.086
250.9 2.066 2.086
251.4 2.05 2.086
251.9 2.107 2.086
252.4 2.092 2.086
252.9 2.047 2.086
253.4 2.092 2.086
253.9 2.11 2.086
254.4 2.066 2.086
254.9 2.09 2.086
255.4 2.09 2.086
255.9 2.094 2.086
256.2 2.082 2.086
256.8 2.102 2.086
257.2 2.076 2.086
257.8 2.094 2.086
258.2 2.1 2.086
258.8 2.082 2.086
259.2 2.055 2.086
259.8 2.139 2.086
260.2 2.082 2.086
260.8 2.055 2.086
261.2 2.09 2.086
261.8 2.105 2.086
262.2 2.068 2.086
262.8 2.068 2.086
263.2 2.088 2.086
263.8 2.078 2.086
264.2 2.11 2.086
264.8 2.082 2.086
265.2 2.064 2.086
265.8 2.09 2.086
266.2 2.096 2.086
266.8 2.07 2.086
267.2 2.072 2.086
267.8 2.1 2.086
268.2 2.09 2.086
268.8 2.082 2.086
269.2 2.088 2.086
269.8 2.088 2.086
270.2 2.062 2.086
270.8 2.098 2.086
271.2 2.098 2.086
271.8 2.068 2.086
272.2 2.08 2.086
272.8 2.094 2.086
273.2 2.09 2.086
273.8 2.074 2.086
274.2 2.105 2.086
274.8 2.074 2.086
275.2 2.09 2.086
275.8 2.092 2.086
276.2 2.082 2.086
276.8 2.08 2.086
277.2 2.107 2.086
277.8 2.105 2.086
278.2 2.055 2.086
