x y_gt y_pr
0.0 0.04446 0.0
0.5 0.1462 0.04184
1.0 0.301 0.1262
1.499 0.489 0.2291
1.999 0.598 0.341
2.498 0.714 0.4587
2.998 0.8667 0.58
3.498 1.017 0.705
3.998 1.11 0.832
4.5 1.24 0.9614
5.0 1.382 1.092
5.5 1.507 1.224
5.996 1.611 1.356
6.496 1.802 1.49
6.996 1.906 1.625
7.496 2.025 1.76
7.996 2.168 1.8955
8.49 2.318 2.031
8.99 2.445 2.168
9.49 2.572 2.305
9.99 2.727 2.441
10.47 2.646 2.416
10.97 2.604 2.404
11.47 2.555 2.396
11.97 2.51 2.39
12.47 2.504 2.383
12.96 2.49 2.375
13.46 2.443 2.37
13.96 2.459 2.361
14.46 2.424 2.354
14.96 2.39 2.348
15.46 2.395 2.34
15.96 2.393 2.334
16.47 2.363 2.328
16.97 2.357 2.322
17.47 2.385 2.314
17.97 2.346 2.309
18.47 2.324 2.303
18.97 2.361 2.297
19.47 2.318 2.291
19.97 2.3 2.285
20.47 2.307 2.28
20.95 2.293 2.273
21.45 2.27 2.268
21.95 2.314 2.262
22.45 2.291 2.256
22.95 2.277 2.252
23.45 2.287 2.246
23.95 2.295 2.24
24.45 2.232 2.236
24.95 2.252 2.23
25.45 2.297 2.225
25.95 2.266 2.22
26.45 2.227 2.215
26.95 2.273 2.21
27.45 2.234 2.205
27.95 2.223 2.201
28.45 2.24 2.195
28.95 2.252 2.191
29.45 2.203 2.188
29.95 2.244 2.182
30.45 2.244 2.178
30.95 2.201 2.174
31.45 2.227 2.17
31.95 2.258 2.166
32.44 2.201 2.16
32.94 2.182 2.156
33.44 2.234 2.152
33.94 2.217 2.148
34.44 2.172 2.145
34.94 2.229 2.14
35.44 2.217 2.137
35.94 2.201 2.133
36.44 2.21 2.129
36.94 2.205 2.125
37.44 2.188 2.121
37.94 2.193 2.12
38.44 2.207 2.115
38.94 2.174 2.111
39.44 2.182 2.107
39.94 2.203 2.104
40.44 2.203 2.102
40.94 2.176 2.098
41.44 2.201 2.094
41.94 2.184 2.092
42.44 2.17 2.088
42.94 2.182 2.084
43.44 2.203 2.082
43.94 2.184 2.078
44.44 2.178 2.076
44.94 2.18 2.072
45.44 2.158 2.068
45.94 2.172 2.066
46.44 2.19 2.062
46.94 2.168 2.06
47.44 2.158 2.059
47.94 2.168 2.055
48.44 2.176 2.053
48.94 2.166 2.049
49.44 2.174 2.047
49.94 2.146 2.045
50.44 2.158 2.041
50.94 2.184 2.04
51.44 2.17 2.037
51.94 2.146 2.033
52.44 2.143 2.031
52.94 2.17 2.03
53.44 2.139 2.027
53.94 2.156 2.023
54.44 2.146 2.021
54.94 2.162 2.02
55.44 2.148 2.018
55.94 2.164 2.016
56.44 2.148 2.012
56.94 2.168 2.01
57.44 2.148 2.008
57.94 2.14 2.006
58.44 2.139 2.004
58.94 2.164 2.002
59.44 2.152 2.0
59.94 2.133 1.998
60.44 2.14 1.996
60.94 2.154 1.994
61.44 2.113 1.992
61.94 2.152 1.99
62.44 2.16 1.988
62.94 2.152 1.986
63.44 2.133 1.984
63.94 2.156 1.982
64.44 2.135 1.98
64.94 2.12 1.979
65.44 2.154 1.977
65.94 2.166 1.976
66.44 2.133 1.974
66.94 2.139 1.972
67.44 2.158 1.97
67.94 2.113 1.969
68.44 2.17 1.967
68.94 2.156 1.965
69.44 2.115 1.964
69.94 2.137 1.962
70.44 2.16 1.961
70.94 2.102 1.959
71.44 2.123 1.958
71.94 2.158 1.956
72.44 2.121 1.954
72.94 2.102 1.953
73.44 2.152 1.952
73.94 2.133 1.95
74.44 2.107 1.949
74.94 2.14 1.947
75.44 2.152 1.946
75.94 2.1 1.944
76.44 2.145 1.943
76.94 2.139 1.942
77.44 2.104 1.94
77.94 2.13 1.939
78.44 2.16 1.938
78.94 2.1 1.9375
79.44 2.121 1.936
79.94 2.158 1.935
80.44 2.111 1.934
80.94 2.105 1.933
81.44 2.15 1.931
81.94 2.121 1.93
82.44 2.096 1.929
82.94 2.143 1.928
83.44 2.13 1.927
83.94 2.09 1.926
84.44 2.143 1.925
84.94 2.13 1.923
85.44 2.09 1.922
85.94 2.12 1.921
86.44 2.156 1.92
86.94 2.088 1.919
87.44 2.102 1.918
87.94 2.145 1.917
88.44 2.117 1.916
88.94 2.096 1.915
89.44 2.15 1.914
89.94 2.123 1.913
90.44 2.082 1.912
90.94 2.13 1.911
91.44 2.127 1.91
91.94 2.088 1.91
92.44 2.117 1.909
92.94 2.123 1.908
93.44 2.098 1.907
93.94 2.12 1.906
94.44 2.137 1.905
94.94 2.1 1.904
95.4 2.117 1.904
95.9 2.135 1.903
96.4 2.082 1.902
96.9 2.123 1.901
97.4 2.121 1.9
97.9 2.076 1.9
98.4 2.107 1.899
98.9 2.135 1.898
99.4 2.096 1.897
99.9 2.104 1.897
100.4 2.143 1.896
100.9 2.098 1.8955
101.4 2.076 1.895
101.9 2.154 1.895
102.4 2.111 1.894
102.9 2.107 1.893
103.4 2.127 1.893
103.9 2.117 1.892
104.4 2.084 1.891
104.9 2.12 1.891
105.4 2.117 1.89
105.9 2.105 1.889
106.4 2.127 1.889
106.9 2.121 1.888
107.4 2.078 1.887
107.9 2.09 1.887
108.4 2.123 1.886
108.9 2.094 1.886
109.4 2.105 1.885
109.9 2.125 1.885
110.4 2.104 1.884
110.9 2.078 1.883
111.4 2.107 1.883
111.9 2.123 1.882
112.4 2.102 1.882
112.9 2.121 1.881
113.4 2.115 1.881
113.9 2.105 1.88
114.4 2.107 1.88
114.9 2.11 1.879
115.4 2.105 1.879
115.9 2.104 1.878
116.4 2.121 1.878
116.9 2.096 1.877
117.4 2.113 1.877
117.9 2.104 1.876
118.4 2.11 1.876
118.9 2.102 1.875
119.4 2.123 1.875
119.9 2.092 1.874
120.4 2.086 1.874
120.9 2.125 1.874
121.4 2.107 1.873
121.9 2.076 1.873
122.4 2.104 1.872
122.9 2.127 1.872
123.4 2.104 1.872
123.9 2.088 1.871
124.4 2.121 1.871
124.9 2.088 1.87
125.4 2.102 1.87
125.9 2.111 1.87
126.4 2.129 1.869
126.9 2.082 1.869
127.4 2.127 1.868
127.9 2.086 1.868
128.4 2.08 1.868
128.9 2.102 1.867
129.4 2.102 1.867
129.9 2.072 1.867
130.4 2.098 1.866
130.9 2.121 1.866
131.4 2.092 1.866
131.9 2.09 1.865
132.4 2.135 1.865
132.9 2.102 1.865
133.4 2.09 1.864
133.9 2.105 1.864
134.4 2.113 1.864
134.9 2.09 1.863
135.4 2.11 1.863
135.9 2.11 1.863
136.4 2.074 1.863
136.9 2.111 1.862
137.4 2.107 1.862
137.9 2.092 1.862
138.4 2.096 1.861
138.9 2.115 1.861
139.4 2.092 1.861
139.9 2.086 1.861
140.4 2.098 1.86
140.9 2.082 1.86
141.4 2.113 1.86
141.9 2.107 1.86
142.4 2.096 1.859
142.9 2.066 1.859
143.4 2.123 1.859
143.9 2.107 1.859
144.4 2.07 1.858
144.9 2.09 1.858
145.4 2.127 1.858
145.9 2.086 1.858
146.4 2.096 1.857
146.9 2.094 1.857
147.4 2.086 1.857
147.9 2.1 1.857
148.4 2.098 1.857
148.9 2.086 1.856
149.4 2.076 1.856
149.9 2.113 1.856
150.4 2.086 1.856
150.9 2.066 1.856
151.4 2.102 1.855
151.9 2.146 1.855
152.4 2.072 1.855
152.9 2.08 1.855
153.4 2.121 1.855
153.9 2.088 1.8545
154.4 2.078 1.8545
154.9 2.102 1.8545
155.4 2.082 1.8545
155.9 2.088 1.8545
156.4 2.098 1.854
156.9 2.086 1.854
157.4 2.06 1.854
157.9 2.117 1.854
158.4 2.113 1.854
158.9 2.078 1.854
159.4 2.076 1.853
159.9 2.125 1.853
160.4 2.09 1.853
160.9 2.102 1.853
161.4 2.1 1.853
161.9 2.094 1.853
162.4 2.09 1.853
162.9 2.107 1.852
163.4 2.082 1.852
163.9 2.068 1.852
164.4 2.107 1.852
164.9 2.113 1.852
165.4 2.086 1.852
165.9 2.086 1.852
166.4 2.104 1.851
166.9 2.09 1.851
167.4 2.078 1.851
167.9 2.1 1.851
168.4 2.088 1.851
168.9 2.086 1.851
169.4 2.123 1.851
169.9 2.111 1.851
170.4 2.062 1.85
170.9 2.104 1.85
171.4 2.123 1.85
171.9 2.082 1.85
172.4 2.078 1.85
172.9 2.098 1.85
173.4 2.09 1.85
173.9 2.068 1.85
174.4 2.117 1.85
174.9 2.088 1.849
175.4 2.057 1.849
175.9 2.074 1.849
176.4 2.127 1.849
176.9 2.07 1.849
177.4 2.076 1.849
177.9 2.086 1.849
178.4 2.094 1.849
178.9 2.096 1.849
179.4 2.115 1.849
179.9 2.104 1.848
180.4 2.059 1.848
180.9 2.104 1.848
181.4 2.1 1.848
181.9 2.072 1.848
182.4 2.092 1.848
182.9 2.094 1.848
183.4 2.08 1.848
183.9 2.084 1.848
184.4 2.11 1.848
184.9 2.074 1.848
185.4 2.072 1.848
185.9 2.098 1.847
186.4 2.104 1.847
186.9 2.059 1.847
187.4 2.09 1.847
187.9 2.104 1.847
188.4 2.07 1.847
188.9 2.102 1.847
189.4 2.115 1.847
189.9 2.076 1.847
190.4 2.08 1.847
190.9 2.1 1.847
191.4 2.09 1.847
191.9 2.1 1.847
192.4 2.096 1.847
192.9 2.088 1.847
193.4 2.074 1.847
193.9 2.1 1.846
194.4 2.12 1.846
194.9 2.072 1.846
195.4 2.096 1.846
195.9 2.1 1.846
196.4 2.08 1.846
196.9 2.086 1.846
197.4 2.11 1.846
197.9 2.072 1.846
198.4 2.05 1.846
198.9 2.092 1.846
199.4 2.092 1.846
199.9 2.088 1.846
200.4 2.074 1.846
200.9 2.104 1.846
201.4 2.074 1.846
201.9 2.096 1.846
202.4 2.1 1.846
202.9 2.084 1.846
203.4 2.07 1.846
203.9 2.111 1.846
204.4 2.096 1.845
204.9 2.074 1.845
205.4 2.1 1.845
205.9 2.096 1.845
206.4 2.084 1.845
206.9 2.078 1.845
207.4 2.111 1.845
207.9 2.078 1.845
208.4 2.082 1.845
208.9 2.082 1.845
209.4 2.084 1.845
209.9 2.084 1.845
210.4 2.121 1.845
210.9 2.08 1.845
211.4 2.08 1.845
211.9 2.094 1.845
212.4 2.111 1.845
212.9 2.084 1.845
213.4 2.072 1.845
213.9 2.096 1.845
214.4 2.082 1.845
214.9 2.08 1.845
215.4 2.074 1.845
215.9 2.088 1.845
216.4 2.09 1.845
216.9 2.1 1.845
217.4 2.105 1.845
217.9 2.053 1.845
218.4 2.104 1.845
218.9 2.096 1.845
219.4 2.078 1.845
219.9 2.06 1.845
220.4 2.086 1.845
220.9 2.068 1.845
221.4 2.1 1.845
221.9 2.117 1.844
222.4 2.078 1.844
222.9 2.094 1.844
223.4 2.113 1.844
223.9 2.11 1.844
224.4 2.062 1.844
224.9 2.102 1.844
225.4 2.102 1.844
225.9 2.084 1.844
226.4 2.092 1.844
226.9 2.102 1.844
227.4 2.066 1.844
227.9 2.08 1.844
228.4 2.11 1.844
228.9 2.084 1.844
229.4 2.072 1.844
229.9 2.082 1.844
230.4 2.08 1.844
230.9 2.068 1.844
231.4 2.115 1.844
231.9 2.094 1.844
232.4 2.055 1.844
232.9 2.104 1.844
233.4 2.127 1.844
233.9 2.066 1.844
234.4 2.104 1.844
234.9 2.104 1.844
235.4 2.064 1.844
235.9 2.1 1.844
236.4 2.076 1.844
236.9 2.074 1.844
237.4 2.111 1.844
237.9 2.107 1.844
238.4 2.064 1.844
238.9 2.092 1.844
239.4 2.127 1.844
239.9 2.078 1.844
240.4 2.074 1.844
240.9 2.105 1.844
241.4 2.074 1.844
241.9 2.072 1.844
242.4 2.113 1.844
242.9 2.078 1.844
243.4 2.078 1.844
243.9 2.127 1.844
244.4 2.09 1.844
244.9 2.059 1.844
245.4 2.086 1.844
245.9 2.102 1.844
246.4 2.068 1.844
246.9 2.09 1.844
247.4 2.094 1.844
247.9 2.084 1.844
248.4 2.102 1.844
248.9 2.094 1.844
249.4 2.062 1.844
249.9 2.086 1.844
250.4 2.113 1.844
250.9 2.066 1.844
251.4 2.05 1.844
251.9 2.107 1.844
252.4 2.092 1.844
252.9 2.047 1.844
253.4 2.092 1.844
253.9 2.11 1.844
254.4 2.066 1.844
254.9 2.09 1.844
255.4 2.09 1.844
255.9 2.094 1.844
256.2 2.082 1.844
256.8 2.102 1.844
257.2 2.076 1.844
257.8 2.094 1.844
258.2 2.1 1.844
258.8 2.082 1.844
259.2 2.055 1.844
259.8 2.139 1.844
260.2 2.082 1.844
260.8 2.055 1.844
261.2 2.09 1.844
261.8 2.105 1.844
262.2 2.068 1.844
262.8 2.068 1.844
263.2 2.088 1.844
263.8 2.078 1.843
264.2 2.11 1.843
264.8 2.082 1.843
265.2 2.064 1.843
265.8 2.09 1.843
266.2 2.096 1.843
266.8 2.07 1.843
267.2 2.072 1.843
267.8 2.1 1.843
268.2 2.09 1.843
268.8 2.082 1.843
269.2 2.088 1.843
269.8 2.088 1.843
270.2 2.062 1.843
270.8 2.098 1.843
271.2 2.098 1.843
271.8 2.068 1.843
272.2 2.08 1.843
272.8 2.094 1.843
273.2 2.09 1.843
273.8 2.074 1.843
274.2 2.105 1.843
274.8 2.074 1.843
275.2 2.09 1.843
275.8 2.092 1.843
276.2 2.082 1.843
276.8 2.08 1.843
277.2 2.107 1.843
277.8 2.105 1.843
278.2 2.055 1.843
278.8 2.082 1.843
279.2 2.115 1.843
279.8 2.082 1.843
280.2 2.066 1.843
280.8 2.092 1.843
281.2 2.096 1.843
281.8 2.08 1.843
282.2 2.096 1.843
282.8 2.094 1.843
283.2 2.084 1.843
283.8 2.115 1.843
284.2 2.088 1.843
284.8 2.07 1.843
285.2 2.098 1.843
285.8 2.102 1.843
286.2 2.08 1.843
286.8 2.082 1.843
287.2 2.107 1.843
287.8 2.094 1.843
288.2 2.082 1.843
288.8 2.09 1.843
289.2 2.08 1.843
289.8 2.08 1.843
290.2 2.094 1.843
290.8 2.06 1.843
291.2 2.072 1.843
291.8 2.111 1.843
292.2 2.096 1.843
292.8 2.078 1.843
293.2 2.098 1.843
293.8 2.113 1.843
294.2 2.076 1.843
294.8 2.072 1.843
295.2 2.092 1.843
295.8 2.088 1.843
296.2 2.059 1.843
296.8 2.086 1.843
297.2 2.102 1.843
297.8 2.082 1.843
298.2 2.105 1.843
298.8 2.08 1.843
299.2 2.094 1.843
299.8 2.11 1.843
300.2 2.088 1.843
300.8 2.078 1.843
301.2 2.104 1.843
301.8 2.096 1.843
302.2 2.076 1.843
302.8 2.084 1.843
303.2 2.1 1.843
303.8 2.092 1.843
304.2 2.072 1.843
304.8 2.105 1.843
305.2 2.09 1.843
305.8 2.074 1.843
306.2 2.09 1.843
306.8 2.107 1.843
307.2 2.072 1.843
307.8 2.088 1.843
308.2 2.094 1.843
308.8 2.076 1.843
309.2 2.074 1.843
309.8 2.11 1.843
