x y_gt y_pr
0.0 0.04446 0.0
0.5 0.1462 0.2426
1.0 0.301 0.4756
1.499 0.489 0.6997
1.999 0.598 0.9155
2.498 0.714 1.124
2.998 0.8667 1.326
3.498 1.017 1.5205
3.998 1.11 1.709
4.5 1.24 1.892
5.0 1.382 2.068
5.5 1.507 2.242
5.996 1.611 2.408
6.496 1.802 2.572
6.996 1.906 2.73
7.496 2.025 2.887
7.996 2.168 3.037
8.49 2.318 3.186
8.99 2.445 3.332
9.49 2.572 3.475
9.99 2.727 3.613
10.47 2.646 3.71
10.97 2.604 3.625
11.47 2.555 3.545
11.97 2.51 3.469
12.47 2.504 3.398
12.96 2.49 3.334
13.46 2.443 3.273
13.96 2.459 3.217
14.46 2.424 3.164
14.96 2.39 3.115
15.46 2.395 3.068
15.96 2.393 3.025
16.47 2.363 2.986
16.97 2.357 2.95
17.47 2.385 2.916
17.97 2.346 2.885
18.47 2.324 2.854
18.97 2.361 2.826
19.47 2.318 2.8
19.97 2.3 2.777
20.47 2.307 2.756
20.95 2.293 2.734
21.45 2.27 2.715
21.95 2.314 2.697
22.45 2.291 2.68
22.95 2.277 2.664
23.45 2.287 2.65
23.95 2.295 2.637
24.45 2.232 2.625
24.95 2.252 2.613
25.45 2.297 2.602
25.95 2.266 2.592
26.45 2.227 2.582
26.95 2.273 2.574
27.45 2.234 2.564
27.95 2.223 2.559
28.45 2.24 2.55
28.95 2.252 2.545
29.45 2.203 2.54
29.95 2.244 2.533
30.45 2.244 2.527
30.95 2.201 2.521
31.45 2.227 2.518
31.95 2.258 2.514
32.44 2.201 2.51
32.94 2.182 2.506
33.44 2.234 2.502
33.94 2.217 2.498
34.44 2.172 2.496
34.94 2.229 2.494
35.44 2.217 2.49
35.94 2.201 2.488
36.44 2.21 2.486
36.94 2.205 2.484
37.44 2.188 2.482
37.94 2.193 2.48
38.44 2.207 2.479
38.94 2.174 2.477
39.44 2.182 2.475
39.94 2.203 2.475
40.44 2.203 2.473
40.94 2.176 2.47
41.44 2.201 2.47
41.94 2.184 2.469
42.44 2.17 2.469
42.94 2.182 2.467
43.44 2.203 2.467
43.94 2.184 2.467
44.44 2.178 2.465
44.94 2.18 2.465
45.44 2.158 2.465
45.94 2.172 2.463
46.44 2.19 2.463
46.94 2.168 2.463
47.44 2.158 2.463
47.94 2.168 2.46
48.44 2.176 2.46
48.94 2.166 2.46
49.44 2.174 2.46
49.94 2.146 2.46
50.44 2.158 2.459
50.94 2.184 2.459
51.44 2.17 2.459
51.94 2.146 2.459
52.44 2.143 2.459
52.94 2.17 2.459
53.44 2.139 2.459
53.94 2.156 2.459
54.44 2.146 2.459
54.94 2.162 2.457
55.44 2.148 2.457
55.94 2.164 2.457
56.44 2.148 2.457
56.94 2.168 2.457
57.44 2.148 2.457
57.94 2.14 2.457
58.44 2.139 2.457
58.94 2.164 2.457
59.44 2.152 2.457
59.94 2.133 2.457
60.44 2.14 2.457
60.94 2.154 2.457
61.44 2.113 2.457
61.94 2.152 2.457
62.44 2.16 2.457
62.94 2.152 2.457
63.44 2.133 2.457
63.94 2.156 2.457
64.44 2.135 2.457
64.94 2.12 2.457
65.44 2.154 2.457
65.94 2.166 2.457
66.44 2.133 2.457
66.94 2.139 2.457
67.44 2.158 2.457
67.94 2.113 2.457
68.44 2.17 2.457
68.94 2.156 2.457
69.44 2.115 2.457
69.94 2.137 2.457
70.44 2.16 2.457
70.94 2.102 2.457
71.44 2.123 2.457
71.94 2.158 2.457
72.44 2.121 2.455
72.94 2.102 2.455
73.44 2.152 2.455
73.94 2.133 2.455
74.44 2.107 2.455
74.94 2.14 2.455
75.44 2.152 2.455
75.94 2.1 2.455
76.44 2.145 2.455
76.94 2.139 2.455
77.44 2.104 2.455
77.94 2.13 2.455
78.44 2.16 2.455
78.94 2.1 2.455
79.44 2.121 2.455
79.94 2.158 2.455
80.44 2.111 2.455
80.94 2.105 2.455
81.44 2.15 2.455
81.94 2.121 2.455
82.44 2.096 2.455
82.94 2.143 2.455
83.44 2.13 2.455
83.94 2.09 2.455
84.44 2.143 2.455
84.94 2.13 2.455
85.44 2.09 2.455
85.94 2.12 2.455
86.44 2.156 2.455
86.94 2.088 2.455
87.44 2.102 2.455
87.94 2.145 2.455
88.44 2.117 2.455
88.94 2.096 2.455
89.44 2.15 2.455
89.94 2.123 2.455
90.44 2.082 2.455
90.94 2.13 2.455
91.44 2.127 2.455
91.94 2.088 2.455
92.44 2.117 2.455
92.94 2.123 2.455
93.44 2.098 2.455
93.94 2.12 2.455
94.44 2.137 2.455
94.94 2.1 2.455
95.4 2.117 2.455
95.9 2.135 2.455
96.4 2.082 2.455
96.9 2.123 2.455
97.4 2.121 2.455
97.9 2.076 2.455
98.4 2.107 2.455
98.9 2.135 2.455
99.4 2.096 2.455
99.9 2.104 2.455
100.4 2.143 2.455
100.9 2.098 2.455
101.4 2.076 2.455
101.9 2.154 2.455
102.4 2.111 2.455
102.9 2.107 2.455
103.4 2.127 2.455
103.9 2.117 2.455
104.4 2.084 2.455
104.9 2.12 2.455
105.4 2.117 2.455
105.9 2.105 2.455
106.4 2.127 2.455
106.9 2.121 2.455
107.4 2.078 2.455
107.9 2.09 2.455
108.4 2.123 2.455
108.9 2.094 2.455
109.4 2.105 2.455
109.9 2.125 2.455
110.4 2.104 2.455
110.9 2.078 2.455
111.4 2.107 2.455
111.9 2.123 2.455
112.4 2.102 2.455
112.9 2.121 2.455
113.4 2.115 2.455
113.9 2.105 2.455
114.4 2.107 2.455
114.9 2.11 2.455
115.4 2.105 2.455
115.9 2.104 2.455
116.4 2.121 2.455
116.9 2.096 2.455
117.4 2.113 2.455
117.9 2.104 2.455
118.4 2.11 2.455
118.9 2.102 2.455
119.4 2.123 2.455
119.9 2.092 2.455
120.4 2.086 2.455
120.9 2.125 2.455
121.4 2.107 2.455
121.9 2.076 2.455
122.4 2.104 2.455
122.9 2.127 2.455
123.4 2.104 2.455
123.9 2.088 2.455
124.4 2.121 2.455
124.9 2.088 2.455
125.4 2.102 2.455
125.9 2.111 2.455
126.4 2.129 2.455
126.9 2.082 2.455
127.4 2.127 2.455
127.9 2.086 2.455
128.4 2.08 2.455
128.9 2.102 2.455
129.4 2.102 2.455
129.9 2.072 2.455
130.4 2.098 2.455
130.9 2.121 2.455
131.4 2.092 2.455
131.9 2.09 2.455
132.4 2.135 2.455
132.9 2.102 2.455
133.4 2.09 2.455
133.9 2.105 2.455
134.4 2.113 2.455
134.9 2.09 2.455
135.4 2.11 2.455
135.9 2.11 2.455
136.4 2.074 2.455
136.9 2.111 2.455
137.4 2.107 2.455
137.9 2.092 2.455
138.4 2.096 2.455
138.9 2.115 2.455
139.4 2.092 2.455
