x y_gt y_pr
0.0 0.02513 0.0
0.5 0.11536 0.2477
1.0 0.3096 0.4858
1.499 0.4504 0.7144
1.999 0.5825 0.935
2.498 0.7104 1.148
2.998 0.861 1.354
3.498 0.9795 1.553
3.998 1.11 1.745
4.5 1.246 1.932
5.0 1.372 2.113
5.5 1.487 2.29
5.996 1.64 2.459
6.496 1.774 2.625
6.996 1.889 2.787
7.496 2.012 2.945
7.996 2.178 3.102
8.49 2.266 3.252
8.99 2.385 3.4
9.49 2.576 3.545
9.99 2.707 3.688
10.47 2.79 3.82
10.97 2.922 3.959
11.47 3.086 4.094
11.97 3.219 4.227
12.47 3.355 4.355
12.96 3.512 4.484
13.46 3.646 4.613
13.96 3.76 4.74
14.46 3.922 4.863
14.96 4.062 4.99
15.46 4.18 5.11
15.96 4.305 5.23
16.47 4.457 5.348
16.97 4.594 5.47
17.47 4.71 5.586
17.97 4.887 5.703
18.47 5.03 5.816
18.97 5.133 5.934
19.47 5.293 6.047
19.97 5.426 6.16
20.47 5.305 6.246
20.95 5.22 6.145
21.45 5.18 6.05
21.95 5.08 5.965
22.45 5.086 5.883
22.95 5.06 5.81
23.45 5.01 5.74
23.95 4.965 5.67
24.45 4.984 5.61
24.95 4.934 5.555
25.45 4.906 5.5
25.95 4.9 5.453
26.45 4.906 5.406
26.95 4.87 5.363
27.45 4.867 5.324
27.95 4.86 5.285
28.45 4.844 5.254
28.95 4.83 5.22
29.45 4.83 5.19
29.95 4.824 5.164
30.45 4.777 5.137
30.95 4.785 5.113
31.45 4.82 5.09
31.95 4.777 5.07
32.44 4.754 5.05
32.94 4.75 5.03
33.44 4.773 5.016
33.94 4.742 5.0
34.44 4.74 4.984
34.94 4.734 4.973
35.44 4.72 4.96
35.94 4.72 4.95
36.44 4.71 4.938
36.94 4.68 4.926
37.44 4.668 4.918
37.94 4.68 4.91
38.44 4.695 4.902
38.94 4.67 4.895
39.44 4.645 4.887
39.94 4.684 4.88
40.44 4.664 4.875
40.94 4.66 4.867
41.44 4.637 4.863
41.94 4.684 4.855
42.44 4.645 4.85
42.94 4.63 4.848
43.44 4.64 4.844
43.94 4.62 4.84
44.44 4.625 4.836
44.94 4.633 4.832
45.44 4.625 4.832
45.94 4.6 4.83
46.44 4.6 4.824
46.94 4.63 4.824
47.44 4.63 4.82
47.94 4.582 4.82
48.44 4.62 4.816
48.94 4.586 4.816
49.44 4.598 4.812
49.94 4.582 4.812
50.44 4.613 4.81
50.94 4.59 4.81
51.44 4.57 4.81
51.94 4.59 4.805
52.44 4.59 4.805
52.94 4.574 4.805
53.44 4.574 4.805
53.94 4.56 4.8
54.44 4.555 4.8
54.94 4.562 4.8
55.44 4.582 4.8
55.94 4.547 4.8
56.44 4.56 4.8
56.94 4.55 4.797
57.44 4.56 4.797
57.94 4.535 4.797
58.44 4.547 4.797
58.94 4.574 4.797
59.44 4.543 4.797
59.94 4.527 4.797
60.44 4.55 4.797
60.94 4.555 4.797
61.44 4.547 4.793
61.94 4.55 4.793
62.44 4.516 4.793
62.94 4.527 4.793
63.44 4.527 4.793
63.94 4.547 4.793
64.44 4.535 4.793
64.94 4.508 4.793
65.44 4.53 4.793
65.94 4.535 4.793
66.44 4.535 4.793
66.94 4.52 4.793
67.44 4.543 4.793
67.94 4.52 4.793
68.44 4.48 4.793
68.94 4.516 4.793
69.44 4.523 4.793
69.94 4.49 4.793
70.44 4.5 4.793
70.94 4.52 4.793
71.44 4.49 4.793
71.94 4.504 4.793
72.44 4.508 4.793
72.94 4.49 4.793
73.44 4.5 4.793
73.94 4.508 4.793
74.44 4.496 4.793
