x y_gt y_pr
0.0 0.01521 0.0
0.5 0.1653 0.2495
1.0 0.3064 0.4895
1.499 0.5015 0.7197
1.999 0.668 0.942
2.498 0.768 1.156
2.998 0.9214 1.363
3.498 1.096 1.563
3.998 1.206 1.758
4.5 1.35 1.945
5.0 1.515 2.129
5.5 1.63 2.305
5.996 1.767 2.477
6.496 1.933 2.645
6.996 2.047 2.809
7.496 2.17 2.967
7.996 2.348 3.123
8.49 2.47 3.275
8.99 2.578 3.426
9.49 2.744 3.57
9.99 2.865 3.713
10.47 3.016 3.848
10.97 3.125 3.986
11.47 3.297 4.12
11.97 3.451 4.258
12.47 3.555 4.387
12.96 3.725 4.516
13.46 3.875 4.645
13.96 3.982 4.773
14.46 4.145 4.9
14.96 4.33 5.023
15.46 4.44 5.145
15.96 4.598 5.266
16.47 4.8 5.387
16.97 4.88 5.504
17.47 5.047 5.625
17.97 5.203 5.742
18.47 5.324 5.86
18.97 5.473 5.973
19.47 5.64 6.09
19.97 5.785 6.203
20.47 5.902 6.316
20.95 6.082 6.43
21.45 6.234 6.543
21.95 6.355 6.652
22.45 6.5 6.766
22.95 6.676 6.875
23.45 6.81 6.984
23.95 6.938 7.098
24.45 7.11 7.207
24.95 7.266 7.316
25.45 7.38 7.426
25.95 7.543 7.535
26.45 7.703 7.64
26.95 7.836 7.75
27.45 7.98 7.86
27.95 8.16 7.97
28.45 8.27 8.08
28.95 8.4 8.18
29.45 8.59 8.29
29.95 8.72 8.4
30.45 8.58 8.484
30.95 8.445 8.39
31.45 8.31 8.3
31.95 8.25 8.21
32.44 8.2 8.13
32.94 8.125 8.055
33.44 8.086 7.99
33.94 8.09 7.926
34.44 8.02 7.867
34.94 7.973 7.81
35.44 7.97 7.758
35.94 7.95 7.71
36.44 7.902 7.668
36.94 7.89 7.625
37.44 7.89 7.586
37.94 7.844 7.55
38.44 7.82 7.516
38.94 7.824 7.484
39.44 7.812 7.457
39.94 7.773 7.43
40.44 7.746 7.406
40.94 7.74 7.383
41.44 7.715 7.36
41.94 7.715 7.34
42.44 7.7 7.32
42.94 7.69 7.305
43.44 7.656 7.285
43.94 7.67 7.273
44.44 7.676 7.258
44.94 7.613 7.246
45.44 7.633 7.23
45.94 7.637 7.22
46.44 7.59 7.21
46.94 7.598 7.2
47.44 7.617 7.19
47.94 7.598 7.184
