x y_gt y_pr
0.0 0.04446 0.0
0.5 0.1462 0.2434
1.0 0.301 0.4785
1.499 0.489 0.7056
1.999 0.598 0.926
2.498 0.714 1.14
2.998 0.8667 1.346
3.498 1.017 1.547
3.998 1.11 1.742
4.5 1.24 1.933
5.0 1.382 2.117
5.5 1.507 2.297
5.996 1.611 2.473
6.496 1.802 2.643
6.996 1.906 2.81
7.496 2.025 2.975
7.996 2.168 3.135
8.49 2.318 3.291
8.99 2.445 3.445
9.49 2.572 3.596
9.99 2.727 3.742
10.47 2.646 3.85
10.97 2.604 3.77
11.47 2.555 3.695
11.97 2.51 3.625
12.47 2.504 3.559
12.96 2.49 3.496
13.46 2.443 3.438
13.96 2.459 3.383
14.46 2.424 3.33
14.96 2.39 3.281
15.46 2.395 3.236
15.96 2.393 3.193
16.47 2.363 3.152
16.97 2.357 3.115
17.47 2.385 3.08
17.97 2.346 3.047
18.47 2.324 3.014
18.97 2.361 2.984
19.47 2.318 2.957
19.97 2.3 2.932
20.47 2.307 2.906
20.95 2.293 2.883
21.45 2.27 2.861
21.95 2.314 2.842
22.45 2.291 2.822
22.95 2.277 2.805
23.45 2.287 2.787
23.95 2.295 2.771
24.45 2.232 2.756
24.95 2.252 2.742
25.45 2.297 2.73
25.95 2.266 2.717
26.45 2.227 2.705
26.95 2.273 2.695
27.45 2.234 2.684
27.95 2.223 2.674
28.45 2.24 2.666
28.95 2.252 2.656
29.45 2.203 2.648
29.95 2.244 2.64
30.45 2.244 2.635
30.95 2.201 2.627
31.45 2.227 2.621
31.95 2.258 2.615
32.44 2.201 2.61
32.94 2.182 2.605
33.44 2.234 2.6
33.94 2.217 2.596
34.44 2.172 2.592
34.94 2.229 2.588
35.44 2.217 2.584
35.94 2.201 2.58
36.44 2.21 2.576
36.94 2.205 2.572
37.44 2.188 2.57
37.94 2.193 2.566
38.44 2.207 2.564
38.94 2.174 2.562
39.44 2.182 2.56
39.94 2.203 2.559
40.44 2.203 2.557
40.94 2.176 2.555
41.44 2.201 2.553
41.94 2.184 2.55
42.44 2.17 2.549
42.94 2.182 2.547
43.44 2.203 2.545
43.94 2.184 2.545
44.44 2.178 2.543
44.94 2.18 2.541
45.44 2.158 2.541
45.94 2.172 2.54
46.44 2.19 2.54
46.94 2.168 2.537
47.44 2.158 2.537
47.94 2.168 2.537
48.44 2.176 2.535
48.94 2.166 2.535
49.44 2.174 2.533
49.94 2.146 2.533
50.44 2.158 2.533
50.94 2.184 2.533
51.44 2.17 2.531
51.94 2.146 2.531
52.44 2.143 2.531
52.94 2.17 2.531
53.44 2.139 2.53
53.94 2.156 2.53
54.44 2.146 2.53
54.94 2.162 2.53
55.44 2.148 2.53
55.94 2.164 2.53
56.44 2.148 2.527
56.94 2.168 2.527
57.44 2.148 2.527
57.94 2.14 2.527
58.44 2.139 2.527
58.94 2.164 2.527
59.44 2.152 2.527
59.94 2.133 2.527
60.44 2.14 2.525
60.94 2.154 2.525
61.44 2.113 2.525
61.94 2.152 2.525
62.44 2.16 2.525
62.94 2.152 2.525
63.44 2.133 2.525
63.94 2.156 2.525
64.44 2.135 2.525
64.94 2.12 2.525
65.44 2.154 2.525
65.94 2.166 2.525
66.44 2.133 2.525
66.94 2.139 2.525
67.44 2.158 2.525
67.94 2.113 2.525
68.44 2.17 2.525
68.94 2.156 2.525
69.44 2.115 2.525
69.94 2.137 2.525
70.44 2.16 2.525
70.94 2.102 2.523
71.44 2.123 2.523
71.94 2.158 2.523
72.44 2.121 2.523
72.94 2.102 2.523
73.44 2.152 2.523
73.94 2.133 2.523
74.44 2.107 2.523
74.94 2.14 2.523
75.44 2.152 2.523
75.94 2.1 2.523
76.44 2.145 2.523
76.94 2.139 2.523
77.44 2.104 2.523
77.94 2.13 2.523
78.44 2.16 2.523
78.94 2.1 2.523
79.44 2.121 2.523
79.94 2.158 2.523
80.44 2.111 2.523
80.94 2.105 2.523
81.44 2.15 2.523
81.94 2.121 2.523
82.44 2.096 2.523
82.94 2.143 2.523
83.44 2.13 2.523
83.94 2.09 2.523
84.44 2.143 2.523
84.94 2.13 2.523
85.44 2.09 2.523
85.94 2.12 2.523
86.44 2.156 2.523
86.94 2.088 2.523
87.44 2.102 2.523
87.94 2.145 2.523
88.44 2.117 2.523
88.94 2.096 2.523
89.44 2.15 2.523
89.94 2.123 2.523
90.44 2.082 2.523
90.94 2.13 2.523
