x y_gt y_pr
0.0 0.02513 0.0
0.5 0.11536 0.2485
1.0 0.3096 0.4888
1.499 0.4504 0.7207
1.999 0.5825 0.9453
2.498 0.7104 1.163
2.998 0.861 1.375
3.498 0.9795 1.58
3.998 1.11 1.779
4.5 1.246 1.973
5.0 1.372 2.162
5.5 1.487 2.346
5.996 1.64 2.523
6.496 1.774 2.697
6.996 1.889 2.87
7.496 2.012 3.035
7.996 2.178 3.2
8.49 2.266 3.36
8.99 2.385 3.516
9.49 2.576 3.67
9.99 2.707 3.818
10.47 2.79 3.96
10.97 2.922 4.105
11.47 3.086 4.25
11.97 3.219 4.39
12.47 3.355 4.53
12.96 3.512 4.664
13.46 3.646 4.8
13.96 3.76 4.934
14.46 3.922 5.066
14.96 4.062 5.195
15.46 4.18 5.324
15.96 4.305 5.453
16.47 4.457 5.58
16.97 4.594 5.703
17.47 4.71 5.83
17.97 4.887 5.95
18.47 5.03 6.07
18.97 5.133 6.19
19.47 5.293 6.312
19.97 5.426 6.43
20.47 5.305 6.523
20.95 5.22 6.43
21.45 5.18 6.336
21.95 5.08 6.25
22.45 5.086 6.17
22.95 5.06 6.098
23.45 5.01 6.023
23.95 4.965 5.957
24.45 4.984 5.895
24.95 4.934 5.836
25.45 4.906 5.78
25.95 4.9 5.73
26.45 4.906 5.684
26.95 4.87 5.637
27.45 4.867 5.594
27.95 4.86 5.555
28.45 4.844 5.516
28.95 4.83 5.48
29.45 4.83 5.445
29.95 4.824 5.414
30.45 4.777 5.387
30.95 4.785 5.355
31.45 4.82 5.332
31.95 4.777 5.305
32.44 4.754 5.28
32.94 4.75 5.26
33.44 4.773 5.242
33.94 4.742 5.223
34.44 4.74 5.203
34.94 4.734 5.188
35.44 4.72 5.17
35.94 4.72 5.156
36.44 4.71 5.14
36.94 4.68 5.13
37.44 4.668 5.117
37.94 4.68 5.105
38.44 4.695 5.094
38.94 4.67 5.082
39.44 4.645 5.074
39.94 4.684 5.062
40.44 4.664 5.055
40.94 4.66 5.047
41.44 4.637 5.04
41.94 4.684 5.03
42.44 4.645 5.027
42.94 4.63 5.02
43.44 4.64 5.016
43.94 4.62 5.008
44.44 4.625 5.004
44.94 4.633 5.0
45.44 4.625 4.992
45.94 4.6 4.99
46.44 4.6 4.984
46.94 4.63 4.98
47.44 4.63 4.977
47.94 4.582 4.977
48.44 4.62 4.973
48.94 4.586 4.97
49.44 4.598 4.965
49.94 4.582 4.965
50.44 4.613 4.96
50.94 4.59 4.957
51.44 4.57 4.957
51.94 4.59 4.953
52.44 4.59 4.953
52.94 4.574 4.95
53.44 4.574 4.95
53.94 4.56 4.945
54.44 4.555 4.945
54.94 4.562 4.945
55.44 4.582 4.94
55.94 4.547 4.94
56.44 4.56 4.94
56.94 4.55 4.938
57.44 4.56 4.938
57.94 4.535 4.938
58.44 4.547 4.938
58.94 4.574 4.934
59.44 4.543 4.934
59.94 4.527 4.934
60.44 4.55 4.934
60.94 4.555 4.934
61.44 4.547 4.934
61.94 4.55 4.93
62.44 4.516 4.93
62.94 4.527 4.93
63.44 4.527 4.93
63.94 4.547 4.93
64.44 4.535 4.93
64.94 4.508 4.93
65.44 4.53 4.93
65.94 4.535 4.926
66.44 4.535 4.926
66.94 4.52 4.926
67.44 4.543 4.926
67.94 4.52 4.926
68.44 4.48 4.926
68.94 4.516 4.926
69.44 4.523 4.926
69.94 4.49 4.926
70.44 4.5 4.926
70.94 4.52 4.926
71.44 4.49 4.926
71.94 4.504 4.926
72.44 4.508 4.926
72.94 4.49 4.926
73.44 4.5 4.926
73.94 4.508 4.926
74.44 4.496 4.926
74.94 4.47 4.92
75.44 4.492 4.92
75.94 4.516 4.92
76.44 4.48 4.92
76.94 4.49 4.92
77.44 4.492 4.92
77.94 4.48 4.92
78.44 4.48 4.92
78.94 4.496 4.92
79.44 4.5 4.92
79.94 4.44 4.92
80.44 4.492 4.92
80.94 4.49 4.92
81.44 4.45 4.92
81.94 4.496 4.92
82.44 4.504 4.92
82.94 4.47 4.92
83.44 4.453 4.92
83.94 4.484 4.92
84.44 4.48 4.92
84.94 4.453 4.92
85.44 4.48 4.92
85.94 4.48 4.92
86.44 4.43 4.92
86.94 4.465 4.92
87.44 4.5 4.92
87.94 4.45 4.92
88.44 4.453 4.92
88.94 4.49 4.92
89.44 4.453 4.92
89.94 4.453 4.92
90.44 4.48 4.92
90.94 4.48 4.92
91.44 4.434 4.92
91.94 4.465 4.92
92.44 4.47 4.92
92.94 4.434 4.92
93.44 4.445 4.92
93.94 4.49 4.92
94.44 4.457 4.92
94.94 4.426 4.92
95.4 4.45 4.92
95.9 4.445 4.92
96.4 4.426 4.92
96.9 4.46 4.92
97.4 4.44 4.92
97.9 4.434 4.92
98.4 4.453 4.92
98.9 4.45 4.92
99.4 4.418 4.92
99.9 4.445 4.92
100.4 4.47 4.92
100.9 4.445 4.92
101.4 4.43 4.92
101.9 4.457 4.92
102.4 4.43 4.92
102.9 4.395 4.92
103.4 4.44 4.92
103.9 4.43 4.92
104.4 4.406 4.92
104.9 4.42 4.92
105.4 4.445 4.92
105.9 4.426 4.92
106.4 4.414 4.92
106.9 4.45 4.92
107.4 4.414 4.92
107.9 4.41 4.92
108.4 4.43 4.92
108.9 4.438 4.92
109.4 4.402 4.92
109.9 4.414 4.92
110.4 4.453 4.92
110.9 4.4 4.92
111.4 4.41 4.92
111.9 4.434 4.92
112.4 4.41 4.92
112.9 4.387 4.92
113.4 4.438 4.92
113.9 4.434 4.92
114.4 4.402 4.92
114.9 4.445 4.92
115.4 4.414 4.92
115.9 4.4 4.92
116.4 4.402 4.92
116.9 4.426 4.92
117.4 4.406 4.92
117.9 4.402 4.92
118.4 4.418 4.92
118.9 4.42 4.92
119.4 4.387 4.92
119.9 4.4 4.92
120.4 4.402 4.92
120.9 4.4 4.92
121.4 4.42 4.92
121.9 4.434 4.92
122.4 4.426 4.92
122.9 4.39 4.92
123.4 4.43 4.92
123.9 4.395 4.92
124.4 4.39 4.92
124.9 4.39 4.92
125.4 4.402 4.92
125.9 4.4 4.92
126.4 4.41 4.92
126.9 4.418 4.92
127.4 4.39 4.92
127.9 4.375 4.92
128.4 4.4 4.92
128.9 4.383 4.92
129.4 4.383 4.92
129.9 4.41 4.92
130.4 4.4 4.92
130.9 4.37 4.92
131.4 4.383 4.92
131.9 4.395 4.92
132.4 4.375 4.92
132.9 4.38 4.92
133.4 4.406 4.92
133.9 4.41 4.92
134.4 4.387 4.92
134.9 4.4 4.92
135.4 4.383 4.92
135.9 4.37 4.92
136.4 4.395 4.92
136.9 4.387 4.92
137.4 4.4 4.92
137.9 4.367 4.92
138.4 4.414 4.92
138.9 4.387 4.92
139.4 4.383 4.92
139.9 4.395 4.92
140.4 4.383 4.92
140.9 4.37 4.92
141.4 4.383 4.92
141.9 4.39 4.92
142.4 4.38 4.92
142.9 4.38 4.92
143.4 4.39 4.92
143.9 4.38 4.92
144.4 4.363 4.92
144.9 4.355 4.92
145.4 4.383 4.92
145.9 4.37 4.92
146.4 4.38 4.92
146.9 4.395 4.92
147.4 4.363 4.92
147.9 4.367 4.92
148.4 4.38 4.92
148.9 4.41 4.92
149.4 4.375 4.92
149.9 4.418 4.92
150.4 4.41 4.92
150.9 4.355 4.92
151.4 4.36 4.92
151.9 4.38 4.92
152.4 4.355 4.92
152.9 4.35 4.92
153.4 4.387 4.92
153.9 4.367 4.92
154.4 4.36 4.92
154.9 4.387 4.92
155.4 4.367 4.92
155.9 4.363 4.92
156.4 4.383 4.92
156.9 4.39 4.92
157.4 4.344 4.92
157.9 4.383 4.92
158.4 4.37 4.92
158.9 4.336 4.92
159.4 4.367 4.92
159.9 4.414 4.92
160.4 4.363 4.92
160.9 4.336 4.92
161.4 4.355 4.92
161.9 4.355 4.92
162.4 4.336 4.92
162.9 4.41 4.92
163.4 4.367 4.92
163.9 4.332 4.92
164.4 4.375 4.92
164.9 4.367 4.92
165.4 4.34 4.92
165.9 4.35 4.92
166.4 4.38 4.92
166.9 4.35 4.92
167.4 4.348 4.92
167.9 4.36 4.92
168.4 4.34 4.92
168.9 4.332 4.92
169.4 4.363 4.92
169.9 4.35 4.92
170.4 4.336 4.92
170.9 4.367 4.92
171.4 4.383 4.92
171.9 4.332 4.92
172.4 4.332 4.92
172.9 4.36 4.92
173.4 4.332 4.92
173.9 4.363 4.92
174.4 4.375 4.92
174.9 4.35 4.92
175.4 4.348 4.92
175.9 4.35 4.92
176.4 4.348 4.92
176.9 4.32 4.92
177.4 4.38 4.92
177.9 4.38 4.92
178.4 4.34 4.92
178.9 4.355 4.92
179.4 4.35 4.92
179.9 4.336 4.92
180.4 4.332 4.92
180.9 4.36 4.92
181.4 4.33 4.92
181.9 4.348 4.92
182.4 4.36 4.92
182.9 4.336 4.92
183.4 4.31 4.92
183.9 4.348 4.92
184.4 4.35 4.92
184.9 4.32 4.92
185.4 4.344 4.92
185.9 4.375 4.92
186.4 4.33 4.92
186.9 4.33 4.92
187.4 4.355 4.92
187.9 4.33 4.92
188.4 4.363 4.92
188.9 4.355 4.92
189.4 4.33 4.92
189.9 4.324 4.92
190.4 4.35 4.92
190.9 4.344 4.92
191.4 4.32 4.92
191.9 4.33 4.92
192.4 4.33 4.92
192.9 4.316 4.92
193.4 4.324 4.92
193.9 4.355 4.92
194.4 4.316 4.92
194.9 4.344 4.92
195.4 4.35 4.92
195.9 4.316 4.92
196.4 4.33 4.92
196.9 4.34 4.92
197.4 4.344 4.92
197.9 4.32 4.92
198.4 4.355 4.92
198.9 4.348 4.92
199.4 4.34 4.92
199.9 4.324 4.92
200.4 4.344 4.92
200.9 4.344 4.92
201.4 4.332 4.92
201.9 4.348 4.92
202.4 4.344 4.92
202.9 4.312 4.92
203.4 4.31 4.92
203.9 4.34 4.92
204.4 4.344 4.92
204.9 4.316 4.92
205.4 4.34 4.92
205.9 4.32 4.92
206.4 4.32 4.92
206.9 4.332 4.92
207.4 4.355 4.92
207.9 4.324 4.92
208.4 4.34 4.92
208.9 4.324 4.92
209.4 4.316 4.92
209.9 4.31 4.92
210.4 4.348 4.92
210.9 4.355 4.92
211.4 4.324 4.92
211.9 4.332 4.92
212.4 4.348 4.92
212.9 4.31 4.92
213.4 4.312 4.92
213.9 4.363 4.92
214.4 4.324 4.92
214.9 4.332 4.92
215.4 4.32 4.92
215.9 4.336 4.92
216.4 4.297 4.92
216.9 4.332 4.92
217.4 4.34 4.92
217.9 4.32 4.92
218.4 4.33 4.92
218.9 4.34 4.92
219.4 4.31 4.92
219.9 4.312 4.92
220.4 4.348 4.92
220.9 4.344 4.92
221.4 4.3 4.92
221.9 4.316 4.92
222.4 4.344 4.92
222.9 4.297 4.92
223.4 4.305 4.92
223.9 4.355 4.92
224.4 4.324 4.92
224.9 4.3 4.92
225.4 4.31 4.92
225.9 4.332 4.92
226.4 4.3 4.92
226.9 4.33 4.92
227.4 4.34 4.92
227.9 4.305 4.92
228.4 4.3 4.92
228.9 4.336 4.92
229.4 4.312 4.92
229.9 4.312 4.92
230.4 4.355 4.92
230.9 4.32 4.92
231.4 4.297 4.92
231.9 4.32 4.92
232.4 4.336 4.92
232.9 4.32 4.92
233.4 4.312 4.92
233.9 4.332 4.92
234.4 4.312 4.92
234.9 4.28 4.92
235.4 4.336 4.92
235.9 4.324 4.92
236.4 4.297 4.92
236.9 4.316 4.92
237.4 4.312 4.92
237.9 4.297 4.92
238.4 4.305 4.92
238.9 4.344 4.92
239.4 4.29 4.92
239.9 4.277 4.92
240.4 4.32 4.92
240.9 4.348 4.92
241.4 4.305 4.92
241.9 4.31 4.92
242.4 4.324 4.92
242.9 4.316 4.92
243.4 4.316 4.92
243.9 4.316 4.92
244.4 4.31 4.92
244.9 4.29 4.92
245.4 4.324 4.92
245.9 4.312 4.92
246.4 4.31 4.92
246.9 4.31 4.92
247.4 4.32 4.92
247.9 4.316 4.92
248.4 4.305 4.92
248.9 4.324 4.92
249.4 4.31 4.92
249.9 4.29 4.92
250.4 4.32 4.92
250.9 4.344 4.92
251.4 4.3 4.92
251.9 4.29 4.92
252.4 4.32 4.92
252.9 4.332 4.92
253.4 4.293 4.92
253.9 4.31 4.92
254.4 4.32 4.92
254.9 4.316 4.92
255.4 4.305 4.92
255.9 4.293 4.92
256.2 4.316 4.92
256.8 4.297 4.92
257.2 4.33 4.92
257.8 4.312 4.92
258.2 4.285 4.92
258.8 4.305 4.92
259.2 4.332 4.92
259.8 4.32 4.92
260.2 4.28 4.92
260.8 4.293 4.92
261.2 4.316 4.92
261.8 4.293 4.92
262.2 4.316 4.92
262.8 4.312 4.92
263.2 4.285 4.92
263.8 4.305 4.92
264.2 4.312 4.92
264.8 4.3 4.92
265.2 4.277 4.92
265.8 4.305 4.92
266.2 4.312 4.92
266.8 4.29 4.92
267.2 4.29 4.92
267.8 4.312 4.92
268.2 4.29 4.92
268.8 4.297 4.92
269.2 4.324 4.92
269.8 4.324 4.92
270.2 4.28 4.92
270.8 4.3 4.92
271.2 4.312 4.92
271.8 4.31 4.92
272.2 4.3 4.92
272.8 4.305 4.92
273.2 4.285 4.92
273.8 4.29 4.92
274.2 4.293 4.92
274.8 4.33 4.92
275.2 4.293 4.92
275.8 4.29 4.92
276.2 4.312 4.92
276.8 4.29 4.92
277.2 4.285 4.92
277.8 4.31 4.92
278.2 4.31 4.92
278.8 4.285 4.92
279.2 4.28 4.92
279.8 4.324 4.92
280.2 4.3 4.92
280.8 4.273 4.92
281.2 4.297 4.92
281.8 4.33 4.92
282.2 4.293 4.92
282.8 4.27 4.92
283.2 4.31 4.92
283.8 4.297 4.92
284.2 4.277 4.92
284.8 4.3 4.92
285.2 4.305 4.92
285.8 4.27 4.92
286.2 4.29 4.92
286.8 4.324 4.92
287.2 4.285 4.92
287.8 4.297 4.92
288.2 4.285 4.92
288.8 4.305 4.92
289.2 4.28 4.92
289.8 4.29 4.92
290.2 4.31 4.92
290.8 4.293 4.92
291.2 4.26 4.92
291.8 4.293 4.92
292.2 4.332 4.92
292.8 4.312 4.92
293.2 4.28 4.92
293.8 4.312 4.92
294.2 4.3 4.92
294.8 4.28 4.92
295.2 4.297 4.92
295.8 4.312 4.92
296.2 4.285 4.92
296.8 4.273 4.92
297.2 4.31 4.92
297.8 4.31 4.92
298.2 4.29 4.92
298.8 4.293 4.92
299.2 4.3 4.92
299.8 4.29 4.92
300.2 4.277 4.92
300.8 4.312 4.92
301.2 4.285 4.92
301.8 4.258 4.92
302.2 4.285 4.92
302.8 4.316 4.92
303.2 4.293 4.92
303.8 4.277 4.92
304.2 4.305 4.92
304.8 4.29 4.92
305.2 4.277 4.92
305.8 4.31 4.92
306.2 4.3 4.92
306.8 4.273 4.92
307.2 4.273 4.92
307.8 4.285 4.92
308.2 4.31 4.92
308.8 4.273 4.92
309.2 4.266 4.92
309.8 4.277 4.92
