x y_gt y_pr
0.0 0.01521 0.0
0.5 0.1653 0.2505
1.0 0.3064 0.4924
1.499 0.5015 0.726
1.999 0.668 0.952
2.498 0.768 1.172
2.998 0.9214 1.385
3.498 1.096 1.591
3.998 1.206 1.792
4.5 1.35 1.987
5.0 1.515 2.178
5.5 1.63 2.361
5.996 1.767 2.541
6.496 1.933 2.717
6.996 2.047 2.89
7.496 2.17 3.059
7.996 2.348 3.223
8.49 2.47 3.383
8.99 2.578 3.541
9.49 2.744 3.695
9.99 2.865 3.846
10.47 3.016 3.99
10.97 3.125 4.137
11.47 3.297 4.28
11.97 3.451 4.42
12.47 3.555 4.562
12.96 3.725 4.7
13.46 3.875 4.836
13.96 3.982 4.97
14.46 4.145 5.1
14.96 4.33 5.234
15.46 4.44 5.363
15.96 4.598 5.492
16.47 4.8 5.617
16.97 4.88 5.742
17.47 5.047 5.867
17.97 5.203 5.992
18.47 5.324 6.113
18.97 5.473 6.234
19.47 5.64 6.355
19.97 5.785 6.477
20.47 5.902 6.594
20.95 6.082 6.715
21.45 6.234 6.832
21.95 6.355 6.95
22.45 6.5 7.066
22.95 6.676 7.18
23.45 6.81 7.297
23.95 6.938 7.41
24.45 7.11 7.523
24.95 7.266 7.637
25.45 7.38 7.754
25.95 7.543 7.863
26.45 7.703 7.977
26.95 7.836 8.09
27.45 7.98 8.2
27.95 8.16 8.31
28.45 8.27 8.43
28.95 8.4 8.54
29.45 8.59 8.65
29.95 8.72 8.76
30.45 8.58 8.85
30.95 8.445 8.76
31.45 8.31 8.664
31.95 8.25 8.58
32.44 8.2 8.5
32.94 8.125 8.43
33.44 8.086 8.36
33.94 8.09 8.29
34.44 8.02 8.23
34.94 7.973 8.17
35.44 7.97 8.12
35.94 7.95 8.06
36.44 7.902 8.016
36.94 7.89 7.97
37.44 7.89 7.926
37.94 7.844 7.887
38.44 7.82 7.848
38.94 7.824 7.812
39.44 7.812 7.78
39.94 7.773 7.75
40.44 7.746 7.72
40.94 7.74 7.69
41.44 7.715 7.668
41.94 7.715 7.64
42.44 7.7 7.617
42.94 7.69 7.598
43.44 7.656 7.58
43.94 7.67 7.56
44.44 7.676 7.54
44.94 7.613 7.523
45.44 7.633 7.508
45.94 7.637 7.492
46.44 7.59 7.48
46.94 7.598 7.465
47.44 7.617 7.453
47.94 7.598 7.44
48.44 7.55 7.43
48.94 7.586 7.42
49.44 7.55 7.41
49.94 7.53 7.402
50.44 7.53 7.395
50.94 7.543 7.387
51.44 7.5 7.38
51.94 7.543 7.37
52.44 7.55 7.363
52.94 7.496 7.36
53.44 7.5 7.35
53.94 7.523 7.348
54.44 7.49 7.34
54.94 7.484 7.336
55.44 7.5 7.332
55.94 7.47 7.33
56.44 7.438 7.324
56.94 7.477 7.32
57.44 7.473 7.316
57.94 7.42 7.312
58.44 7.477 7.31
58.94 7.44 7.305
59.44 7.402 7.305
59.94 7.44 7.3
60.44 7.43 7.297
60.94 7.4 7.297
61.44 7.406 7.293
61.94 7.434 7.293
62.44 7.38 7.29
62.94 7.375 7.29
63.44 7.383 7.285
63.94 7.363 7.285
64.44 7.363 7.285
64.94 7.38 7.28
65.44 7.348 7.28
65.94 7.36 7.28
66.44 7.36 7.277
66.94 7.38 7.277
67.44 7.32 7.277
67.94 7.37 7.273
68.44 7.35 7.273
68.94 7.312 7.273
69.44 7.35 7.273
69.94 7.336 7.273
70.44 7.293 7.27
70.94 7.324 7.27
71.44 7.35 7.27
71.94 7.29 7.27
72.44 7.305 7.27
72.94 7.35 7.27
73.44 7.293 7.27
73.94 7.31 7.266
74.44 7.312 7.266
74.94 7.28 7.266
75.44 7.277 7.266
75.94 7.332 7.266
76.44 7.285 7.266
76.94 7.277 7.266
77.44 7.3 7.266
77.94 7.26 7.266
78.44 7.273 7.266
78.94 7.305 7.266
79.44 7.26 7.266
79.94 7.254 7.26
80.44 7.297 7.26
80.94 7.28 7.26
81.44 7.22 7.26
81.94 7.26 7.26
82.44 7.266 7.26
82.94 7.234 7.26
83.44 7.258 7.26
83.94 7.246 7.26
84.44 7.227 7.26
84.94 7.246 7.26
85.44 7.258 7.26
85.94 7.22 7.26
86.44 7.23 7.26
86.94 7.24 7.26
87.44 7.234 7.26
87.94 7.215 7.26
88.44 7.23 7.26
88.94 7.215 7.26
89.44 7.223 7.26
89.94 7.184 7.26
90.44 7.21 7.26
90.94 7.19 7.26
91.44 7.203 7.26
91.94 7.227 7.26
92.44 7.195 7.26
92.94 7.19 7.26
93.44 7.207 7.26
93.94 7.195 7.26
94.44 7.168 7.26
94.94 7.2 7.26
95.4 7.207 7.26
95.9 7.164 7.26
96.4 7.19 7.26
96.9 7.207 7.26
97.4 7.156 7.26
97.9 7.164 7.26
98.4 7.184 7.26
98.9 7.145 7.26
99.4 7.16 7.26
99.9 7.203 7.26
100.4 7.13 7.26
100.9 7.145 7.26
101.4 7.18 7.26
101.9 7.16 7.26
102.4 7.137 7.26
102.9 7.184 7.26
103.4 7.168 7.26
103.9 7.133 7.26
104.4 7.15 7.26
104.9 7.15 7.26
105.4 7.137 7.26
105.9 7.16 7.26
106.4 7.137 7.26
106.9 7.133 7.26
107.4 7.13 7.26
107.9 7.13 7.26
108.4 7.145 7.26
108.9 7.125 7.26
109.4 7.12 7.26
109.9 7.145 7.26
110.4 7.137 7.26
110.9 7.13 7.26
111.4 7.145 7.26
111.9 7.133 7.26
112.4 7.11 7.26
112.9 7.133 7.26
113.4 7.156 7.26
113.9 7.098 7.26
114.4 7.117 7.26
114.9 7.133 7.26
115.4 7.11 7.26
115.9 7.1 7.26
116.4 7.137 7.26
116.9 7.1 7.26
117.4 7.105 7.26
117.9 7.14 7.26
118.4 7.094 7.26
118.9 7.08 7.26
119.4 7.125 7.26
119.9 7.125 7.26
120.4 7.074 7.26
120.9 7.113 7.26
121.4 7.117 7.26
121.9 7.062 7.26
122.4 7.094 7.26
122.9 7.125 7.26
123.4 7.074 7.26
123.9 7.07 7.26
124.4 7.12 7.26
124.9 7.08 7.26
125.4 7.062 7.26
125.9 7.09 7.26
126.4 7.098 7.26
126.9 7.043 7.26
127.4 7.074 7.26
127.9 7.09 7.26
128.4 7.062 7.26
128.9 7.06 7.26
129.4 7.09 7.26
129.9 7.074 7.26
130.4 7.043 7.26
130.9 7.08 7.26
131.4 7.08 7.26
131.9 7.043 7.26
132.4 7.074 7.26
132.9 7.07 7.26
133.4 7.066 7.26
133.9 7.047 7.26
134.4 7.07 7.26
134.9 7.055 7.26
135.4 7.04 7.26
135.9 7.055 7.26
136.4 7.06 7.26
136.9 7.03 7.26
137.4 7.043 7.26
137.9 7.05 7.26
138.4 7.027 7.26
138.9 7.047 7.26
139.4 7.07 7.26
139.9 7.04 7.26
140.4 7.047 7.26
140.9 7.05 7.26
141.4 7.035 7.26
141.9 7.05 7.26
142.4 7.04 7.26
142.9 7.03 7.26
143.4 7.035 7.26
143.9 7.062 7.26
144.4 7.04 7.26
144.9 7.016 7.26
145.4 7.05 7.26
145.9 7.043 7.26
146.4 7.004 7.26
146.9 7.02 7.26
147.4 7.03 7.26
147.9 7.027 7.26
148.4 7.02 7.26
148.9 7.027 7.26
149.4 6.996 7.26
149.9 7.004 7.26
150.4 7.04 7.26
150.9 7.03 7.26
151.4 7.008 7.26
151.9 7.004 7.26
152.4 7.02 7.26
152.9 7.004 7.26
153.4 7.023 7.26
153.9 7.02 7.26
154.4 7.0 7.26
154.9 7.016 7.26
155.4 7.01 7.26
155.9 6.996 7.26
156.4 7.008 7.26
156.9 7.016 7.26
157.4 7.016 7.26
157.9 6.992 7.26
158.4 7.01 7.26
158.9 7.023 7.26
159.4 6.99 7.26
159.9 6.992 7.26
160.4 7.01 7.26
160.9 7.0 7.26
161.4 6.98 7.26
161.9 7.008 7.26
162.4 7.004 7.26
162.9 6.984 7.26
163.4 7.004 7.26
163.9 7.008 7.26
164.4 6.957 7.26
164.9 7.008 7.26
165.4 7.01 7.26
165.9 7.0 7.26
166.4 6.965 7.26
166.9 7.0 7.26
167.4 6.99 7.26
167.9 6.977 7.26
168.4 7.008 7.26
168.9 6.973 7.26
169.4 6.973 7.26
169.9 7.004 7.26
170.4 7.0 7.26
170.9 6.957 7.26
171.4 6.996 7.26
171.9 7.0 7.26
172.4 6.97 7.26
172.9 6.977 7.26
173.4 6.973 7.26
173.9 6.992 7.26
174.4 6.95 7.26
174.9 6.992 7.26
175.4 6.97 7.26
175.9 6.945 7.26
176.4 6.984 7.26
176.9 6.99 7.26
177.4 6.96 7.26
177.9 6.977 7.26
178.4 6.98 7.26
178.9 6.953 7.26
179.4 6.977 7.26
179.9 6.98 7.26
180.4 6.965 7.26
180.9 6.953 7.26
181.4 6.98 7.26
181.9 6.957 7.26
182.4 6.957 7.26
182.9 6.973 7.26
183.4 6.99 7.26
183.9 6.94 7.26
184.4 6.96 7.26
184.9 6.98 7.26
185.4 6.96 7.26
185.9 6.96 7.26
186.4 6.965 7.26
186.9 6.945 7.26
187.4 6.945 7.26
187.9 6.973 7.26
188.4 6.96 7.26
188.9 6.953 7.26
189.4 6.97 7.26
189.9 6.973 7.26
190.4 6.918 7.26
190.9 6.945 7.26
191.4 6.97 7.26
191.9 6.953 7.26
192.4 6.94 7.26
192.9 6.957 7.26
193.4 6.92 7.26
193.9 6.94 7.26
194.4 6.953 7.26
194.9 6.94 7.26
195.4 6.93 7.26
195.9 6.953 7.26
196.4 6.94 7.26
196.9 6.934 7.26
197.4 6.953 7.26
197.9 6.97 7.26
198.4 6.93 7.26
198.9 6.93 7.26
199.4 6.94 7.26
199.9 6.926 7.26
200.4 6.938 7.26
200.9 6.957 7.26
201.4 6.94 7.26
201.9 6.918 7.26
202.4 6.934 7.26
202.9 6.965 7.26
203.4 6.926 7.26
203.9 6.938 7.26
204.4 6.938 7.26
204.9 6.91 7.26
205.4 6.926 7.26
205.9 6.953 7.26
206.4 6.902 7.26
206.9 6.93 7.26
207.4 6.95 7.26
207.9 6.914 7.26
208.4 6.89 7.26
208.9 6.934 7.26
209.4 6.94 7.26
209.9 6.89 7.26
210.4 6.945 7.26
210.9 6.938 7.26
211.4 6.902 7.26
211.9 6.914 7.26
212.4 6.945 7.26
212.9 6.91 7.26
213.4 6.902 7.26
213.9 6.95 7.26
214.4 6.91 7.26
214.9 6.887 7.26
215.4 6.96 7.26
215.9 6.906 7.26
216.4 6.9 7.26
216.9 6.918 7.26
217.4 6.906 7.26
217.9 6.883 7.26
218.4 6.926 7.26
218.9 6.93 7.26
219.4 6.9 7.26
219.9 6.918 7.26
220.4 6.938 7.26
220.9 6.902 7.26
221.4 6.895 7.26
221.9 6.92 7.26
222.4 6.918 7.26
222.9 6.9 7.26
223.4 6.926 7.26
223.9 6.918 7.26
224.4 6.895 7.26
224.9 6.926 7.26
225.4 6.914 7.26
225.9 6.9 7.26
226.4 6.895 7.26
226.9 6.93 7.26
227.4 6.89 7.26
227.9 6.9 7.26
228.4 6.91 7.26
228.9 6.91 7.26
229.4 6.9 7.26
229.9 6.9 7.26
230.4 6.902 7.26
230.9 6.895 7.26
231.4 6.88 7.26
231.9 6.906 7.26
232.4 6.895 7.26
232.9 6.887 7.26
233.4 6.875 7.26
233.9 6.9 7.26
234.4 6.906 7.26
234.9 6.89 7.26
235.4 6.906 7.26
235.9 6.902 7.26
236.4 6.875 7.26
236.9 6.906 7.26
237.4 6.91 7.26
237.9 6.867 7.26
238.4 6.87 7.26
238.9 6.93 7.26
239.4 6.855 7.26
239.9 6.88 7.26
240.4 6.918 7.26
240.9 6.88 7.26
241.4 6.87 7.26
241.9 6.89 7.26
242.4 6.906 7.26
242.9 6.848 7.26
243.4 6.9 7.26
243.9 6.902 7.26
244.4 6.855 7.26
244.9 6.883 7.26
245.4 6.914 7.26
245.9 6.87 7.26
246.4 6.87 7.26
246.9 6.906 7.26
247.4 6.88 7.26
247.9 6.863 7.26
248.4 6.88 7.26
248.9 6.88 7.26
249.4 6.848 7.26
249.9 6.902 7.26
250.4 6.895 7.26
250.9 6.867 7.26
251.4 6.875 7.26
251.9 6.87 7.26
252.4 6.86 7.26
252.9 6.87 7.26
253.4 6.89 7.26
253.9 6.86 7.26
254.4 6.875 7.26
254.9 6.887 7.26
255.4 6.855 7.26
255.9 6.863 7.26
256.2 6.89 7.26
256.8 6.86 7.26
257.2 6.88 7.26
257.8 6.9 7.26
258.2 6.863 7.26
258.8 6.83 7.26
259.2 6.91 7.26
259.8 6.88 7.26
260.2 6.836 7.26
260.8 6.863 7.26
261.2 6.883 7.26
261.8 6.855 7.26
262.2 6.867 7.26
262.8 6.875 7.26
263.2 6.855 7.26
263.8 6.863 7.26
264.2 6.895 7.26
264.8 6.848 7.26
265.2 6.848 7.26
265.8 6.87 7.26
266.2 6.87 7.26
266.8 6.836 7.26
267.2 6.867 7.26
267.8 6.887 7.26
268.2 6.85 7.26
268.8 6.867 7.26
269.2 6.89 7.26
269.8 6.848 7.26
270.2 6.836 7.26
270.8 6.883 7.26
271.2 6.88 7.26
271.8 6.824 7.26
272.2 6.867 7.26
272.8 6.86 7.26
273.2 6.86 7.26
273.8 6.86 7.26
274.2 6.867 7.26
274.8 6.836 7.26
275.2 6.855 7.26
275.8 6.867 7.26
276.2 6.82 7.26
276.8 6.844 7.26
277.2 6.86 7.26
277.8 6.86 7.26
278.2 6.85 7.26
278.8 6.863 7.26
279.2 6.84 7.26
279.8 6.84 7.26
280.2 6.88 7.26
280.8 6.848 7.26
281.2 6.832 7.26
281.8 6.848 7.26
282.2 6.867 7.26
282.8 6.844 7.26
283.2 6.848 7.26
283.8 6.85 7.26
284.2 6.836 7.26
284.8 6.87 7.26
285.2 6.863 7.26
