x y_gt y_pr
0.0 0.04446 0.0
0.5 0.1462 0.2432
1.0 0.301 0.4778
1.499 0.489 0.704
1.999 0.598 0.9233
2.498 0.714 1.136
2.998 0.8667 1.342
3.498 1.017 1.541
3.998 1.11 1.735
4.5 1.24 1.924
5.0 1.382 2.107
5.5 1.507 2.285
5.996 1.611 2.457
6.496 1.802 2.627
6.996 1.906 2.793
7.496 2.025 2.955
7.996 2.168 3.113
8.49 2.318 3.268
8.99 2.445 3.42
9.49 2.572 3.568
9.99 2.727 3.713
10.47 2.646 3.818
10.97 2.604 3.736
11.47 2.555 3.66
11.97 2.51 3.588
12.47 2.504 3.521
12.96 2.49 3.459
13.46 2.443 3.4
13.96 2.459 3.344
14.46 2.424 3.291
14.96 2.39 3.242
15.46 2.395 3.197
15.96 2.393 3.154
16.47 2.363 3.113
16.97 2.357 3.076
17.47 2.385 3.041
17.97 2.346 3.008
18.47 2.324 2.977
18.97 2.361 2.947
19.47 2.318 2.92
19.97 2.3 2.895
20.47 2.307 2.87
20.95 2.293 2.848
21.45 2.27 2.826
21.95 2.314 2.807
22.45 2.291 2.787
22.95 2.277 2.77
23.45 2.287 2.754
23.95 2.295 2.738
24.45 2.232 2.725
24.95 2.252 2.71
25.45 2.297 2.697
25.95 2.266 2.686
26.45 2.227 2.674
26.95 2.273 2.664
27.45 2.234 2.654
27.95 2.223 2.645
28.45 2.24 2.637
28.95 2.252 2.629
29.45 2.203 2.621
29.95 2.244 2.613
30.45 2.244 2.607
30.95 2.201 2.6
31.45 2.227 2.594
31.95 2.258 2.588
32.44 2.201 2.584
32.94 2.182 2.578
33.44 2.234 2.574
33.94 2.217 2.57
34.44 2.172 2.566
34.94 2.229 2.562
35.44 2.217 2.559
35.94 2.201 2.555
36.44 2.21 2.553
36.94 2.205 2.549
37.44 2.188 2.547
37.94 2.193 2.545
38.44 2.207 2.541
38.94 2.174 2.54
39.44 2.182 2.537
39.94 2.203 2.535
40.44 2.203 2.533
40.94 2.176 2.531
41.44 2.201 2.53
41.94 2.184 2.53
42.44 2.17 2.527
42.94 2.182 2.525
43.44 2.203 2.523
43.94 2.184 2.523
44.44 2.178 2.521
44.94 2.18 2.521
45.44 2.158 2.52
45.94 2.172 2.52
46.44 2.19 2.518
46.94 2.168 2.518
47.44 2.158 2.518
47.94 2.168 2.516
48.44 2.176 2.516
48.94 2.166 2.514
49.44 2.174 2.514
49.94 2.146 2.514
50.44 2.158 2.514
50.94 2.184 2.512
