x y_gt y_pr
0.0 0.02513 0.0
0.5 0.11536 0.2484
1.0 0.3096 0.488
1.499 0.4504 0.719
1.999 0.5825 0.9434
2.498 0.7104 1.16
2.998 0.861 1.37
3.498 0.9795 1.574
3.998 1.11 1.771
4.5 1.246 1.964
5.0 1.372 2.15
5.5 1.487 2.332
5.996 1.64 2.51
6.496 1.774 2.682
6.996 1.889 2.852
7.496 2.012 3.016
7.996 2.178 3.178
8.49 2.266 3.336
8.99 2.385 3.49
9.49 2.576 3.64
9.99 2.707 3.79
10.47 2.79 3.93
10.97 2.922 4.074
11.47 3.086 4.215
11.97 3.219 4.355
12.47 3.355 4.492
12.96 3.512 4.625
13.46 3.646 4.758
13.96 3.76 4.89
14.46 3.922 5.02
14.96 4.062 5.15
15.46 4.18 5.273
15.96 4.305 5.402
16.47 4.457 5.523
16.97 4.594 5.65
17.47 4.71 5.77
17.97 4.887 5.89
18.47 5.03 6.01
18.97 5.133 6.133
19.47 5.293 6.25
19.97 5.426 6.367
20.47 5.305 6.457
20.95 5.22 6.363
21.45 5.18 6.27
21.95 5.08 6.184
22.45 5.086 6.1
22.95 5.06 6.027
23.45 5.01 5.957
23.95 4.965 5.89
24.45 4.984 5.83
24.95 4.934 5.77
25.45 4.906 5.715
25.95 4.9 5.664
26.45 4.906 5.613
26.95 4.87 5.57
27.45 4.867 5.527
27.95 4.86 5.49
28.45 4.844 5.45
28.95 4.83 5.414
29.45 4.83 5.383
29.95 4.824 5.35
30.45 4.777 5.324
30.95 4.785 5.297
31.45 4.82 5.27
31.95 4.777 5.246
32.44 4.754 5.223
32.94 4.75 5.203
33.44 4.773 5.184
33.94 4.742 5.164
34.44 4.74 5.15
34.94 4.734 5.133
35.44 4.72 5.117
35.94 4.72 5.1
36.44 4.71 5.09
36.94 4.68 5.074
37.44 4.668 5.062
37.94 4.68 5.055
38.44 4.695 5.043
38.94 4.67 5.035
39.44 4.645 5.023
39.94 4.684 5.016
40.44 4.664 5.008
40.94 4.66 5.0
41.44 4.637 4.992
41.94 4.684 4.984
42.44 4.645 4.98
42.94 4.63 4.973
43.44 4.64 4.97
43.94 4.62 4.965
44.44 4.625 4.957
44.94 4.633 4.953
45.44 4.625 4.95
45.94 4.6 4.945
46.44 4.6 4.94
46.94 4.63 4.938
47.44 4.63 4.934
47.94 4.582 4.934
48.44 4.62 4.93
48.94 4.586 4.926
49.44 4.598 4.926
49.94 4.582 4.92
50.44 4.613 4.918
50.94 4.59 4.918
51.44 4.57 4.914
51.94 4.59 4.914
52.44 4.59 4.91
52.94 4.574 4.91
53.44 4.574 4.91
53.94 4.56 4.906
54.44 4.555 4.906
54.94 4.562 4.906
55.44 4.582 4.902
55.94 4.547 4.902
56.44 4.56 4.902
56.94 4.55 4.902
57.44 4.56 4.9
57.94 4.535 4.9
58.44 4.547 4.9
58.94 4.574 4.9
59.44 4.543 4.9
59.94 4.527 4.895
60.44 4.55 4.895
60.94 4.555 4.895
61.44 4.547 4.895
61.94 4.55 4.895
62.44 4.516 4.895
62.94 4.527 4.895
63.44 4.527 4.89
63.94 4.547 4.89
64.44 4.535 4.89
64.94 4.508 4.89
65.44 4.53 4.89
65.94 4.535 4.89
66.44 4.535 4.89
66.94 4.52 4.89
67.44 4.543 4.89
67.94 4.52 4.89
68.44 4.48 4.89
68.94 4.516 4.89
69.44 4.523 4.89
69.94 4.49 4.89
70.44 4.5 4.887
70.94 4.52 4.887
71.44 4.49 4.887
71.94 4.504 4.887
72.44 4.508 4.887
72.94 4.49 4.887
73.44 4.5 4.887
73.94 4.508 4.887
74.44 4.496 4.887
74.94 4.47 4.887
75.44 4.492 4.887
75.94 4.516 4.887
76.44 4.48 4.887
76.94 4.49 4.887
77.44 4.492 4.887
77.94 4.48 4.887
78.44 4.48 4.887
78.94 4.496 4.887
79.44 4.5 4.887
79.94 4.44 4.887
80.44 4.492 4.887
80.94 4.49 4.887
81.44 4.45 4.887
81.94 4.496 4.887
82.44 4.504 4.887
82.94 4.47 4.887
83.44 4.453 4.887
83.94 4.484 4.887
84.44 4.48 4.887
84.94 4.453 4.887
85.44 4.48 4.887
85.94 4.48 4.887
86.44 4.43 4.887
86.94 4.465 4.887
87.44 4.5 4.887
87.94 4.45 4.887
88.44 4.453 4.887
88.94 4.49 4.887
89.44 4.453 4.887
89.94 4.453 4.887
90.44 4.48 4.887
90.94 4.48 4.887
91.44 4.434 4.887
91.94 4.465 4.887
92.44 4.47 4.887
92.94 4.434 4.887
93.44 4.445 4.887
93.94 4.49 4.887
94.44 4.457 4.887
94.94 4.426 4.887
95.4 4.45 4.887
95.9 4.445 4.887
96.4 4.426 4.887
96.9 4.46 4.887
97.4 4.44 4.887
97.9 4.434 4.887
98.4 4.453 4.887
98.9 4.45 4.887
99.4 4.418 4.887
99.9 4.445 4.887
100.4 4.47 4.887
100.9 4.445 4.887
101.4 4.43 4.887
101.9 4.457 4.887
102.4 4.43 4.887
102.9 4.395 4.887
103.4 4.44 4.887
103.9 4.43 4.887
104.4 4.406 4.887
104.9 4.42 4.887
105.4 4.445 4.887
105.9 4.426 4.887
106.4 4.414 4.887
106.9 4.45 4.887
107.4 4.414 4.887
107.9 4.41 4.887
108.4 4.43 4.887
108.9 4.438 4.887
109.4 4.402 4.887
109.9 4.414 4.887
110.4 4.453 4.887
110.9 4.4 4.887
111.4 4.41 4.887
111.9 4.434 4.887
112.4 4.41 4.887
112.9 4.387 4.887
113.4 4.438 4.887
113.9 4.434 4.887
114.4 4.402 4.887
114.9 4.445 4.887
115.4 4.414 4.887
115.9 4.4 4.887
116.4 4.402 4.887
116.9 4.426 4.887
117.4 4.406 4.887
117.9 4.402 4.887
118.4 4.418 4.887
118.9 4.42 4.887
119.4 4.387 4.887
119.9 4.4 4.887
120.4 4.402 4.887
120.9 4.4 4.887
121.4 4.42 4.887
121.9 4.434 4.887
122.4 4.426 4.887
122.9 4.39 4.887
123.4 4.43 4.887
123.9 4.395 4.887
124.4 4.39 4.887
124.9 4.39 4.887
125.4 4.402 4.887
125.9 4.4 4.887
126.4 4.41 4.887
126.9 4.418 4.887
127.4 4.39 4.887
127.9 4.375 4.887
128.4 4.4 4.887
128.9 4.383 4.887
129.4 4.383 4.887
129.9 4.41 4.887
130.4 4.4 4.887
130.9 4.37 4.887
131.4 4.383 4.887
131.9 4.395 4.887
132.4 4.375 4.887
132.9 4.38 4.887
133.4 4.406 4.887
133.9 4.41 4.887
134.4 4.387 4.887
134.9 4.4 4.887
135.4 4.383 4.887
135.9 4.37 4.887
136.4 4.395 4.887
136.9 4.387 4.887
137.4 4.4 4.887
137.9 4.367 4.887
138.4 4.414 4.887
138.9 4.387 4.887
139.4 4.383 4.887
139.9 4.395 4.887
140.4 4.383 4.887
140.9 4.37 4.887
141.4 4.383 4.887
141.9 4.39 4.887
142.4 4.38 4.887
142.9 4.38 4.887
143.4 4.39 4.887
143.9 4.38 4.887
144.4 4.363 4.887
144.9 4.355 4.887
145.4 4.383 4.887
145.9 4.37 4.887
146.4 4.38 4.887
146.9 4.395 4.887
147.4 4.363 4.887
147.9 4.367 4.887
148.4 4.38 4.887
148.9 4.41 4.887
149.4 4.375 4.887
149.9 4.418 4.887
150.4 4.41 4.887
150.9 4.355 4.887
151.4 4.36 4.887
151.9 4.38 4.887
152.4 4.355 4.887
152.9 4.35 4.887
153.4 4.387 4.887
153.9 4.367 4.887
154.4 4.36 4.887
154.9 4.387 4.887
155.4 4.367 4.887
155.9 4.363 4.887
156.4 4.383 4.887
156.9 4.39 4.887
157.4 4.344 4.887
157.9 4.383 4.887
158.4 4.37 4.887
158.9 4.336 4.887
159.4 4.367 4.887
159.9 4.414 4.887
160.4 4.363 4.887
160.9 4.336 4.887
161.4 4.355 4.887
161.9 4.355 4.887
162.4 4.336 4.887
162.9 4.41 4.887
163.4 4.367 4.887
163.9 4.332 4.887
164.4 4.375 4.887
164.9 4.367 4.887
165.4 4.34 4.887
165.9 4.35 4.887
166.4 4.38 4.887
166.9 4.35 4.887
167.4 4.348 4.887
167.9 4.36 4.887
168.4 4.34 4.887
168.9 4.332 4.887
169.4 4.363 4.887
169.9 4.35 4.887
170.4 4.336 4.887
170.9 4.367 4.887
171.4 4.383 4.887
171.9 4.332 4.887
172.4 4.332 4.887
172.9 4.36 4.887
173.4 4.332 4.887
173.9 4.363 4.887
174.4 4.375 4.887
174.9 4.35 4.887
175.4 4.348 4.887
175.9 4.35 4.887
176.4 4.348 4.887
176.9 4.32 4.887
177.4 4.38 4.887
177.9 4.38 4.887
178.4 4.34 4.887
178.9 4.355 4.887
179.4 4.35 4.887
179.9 4.336 4.887
180.4 4.332 4.887
180.9 4.36 4.887
181.4 4.33 4.887
181.9 4.348 4.887
182.4 4.36 4.887
182.9 4.336 4.887
183.4 4.31 4.887
183.9 4.348 4.887
184.4 4.35 4.887
184.9 4.32 4.887
185.4 4.344 4.887
185.9 4.375 4.887
186.4 4.33 4.887
186.9 4.33 4.887
187.4 4.355 4.887
187.9 4.33 4.887
188.4 4.363 4.887
188.9 4.355 4.887
189.4 4.33 4.887
189.9 4.324 4.887
190.4 4.35 4.887
190.9 4.344 4.887
191.4 4.32 4.887
191.9 4.33 4.887
192.4 4.33 4.887
192.9 4.316 4.887
193.4 4.324 4.887
193.9 4.355 4.887
194.4 4.316 4.887
194.9 4.344 4.887
195.4 4.35 4.887
195.9 4.316 4.887
196.4 4.33 4.887
196.9 4.34 4.887
197.4 4.344 4.887
197.9 4.32 4.887
198.4 4.355 4.887
198.9 4.348 4.887
199.4 4.34 4.887
199.9 4.324 4.887
200.4 4.344 4.887
200.9 4.344 4.887
201.4 4.332 4.887
201.9 4.348 4.887
202.4 4.344 4.887
202.9 4.312 4.887
203.4 4.31 4.887
203.9 4.34 4.887
204.4 4.344 4.887
204.9 4.316 4.887
205.4 4.34 4.887
205.9 4.32 4.887
206.4 4.32 4.887
206.9 4.332 4.887
207.4 4.355 4.887
207.9 4.324 4.887
208.4 4.34 4.887
208.9 4.324 4.887
209.4 4.316 4.887
209.9 4.31 4.887
210.4 4.348 4.887
210.9 4.355 4.887
211.4 4.324 4.887
211.9 4.332 4.887
212.4 4.348 4.887
212.9 4.31 4.887
213.4 4.312 4.887
213.9 4.363 4.887
214.4 4.324 4.887
214.9 4.332 4.887
215.4 4.32 4.887
215.9 4.336 4.887
216.4 4.297 4.887
216.9 4.332 4.887
217.4 4.34 4.887
217.9 4.32 4.887
218.4 4.33 4.887
218.9 4.34 4.887
219.4 4.31 4.887
219.9 4.312 4.887
220.4 4.348 4.887
220.9 4.344 4.887
221.4 4.3 4.887
221.9 4.316 4.887
222.4 4.344 4.887
222.9 4.297 4.887
223.4 4.305 4.887
223.9 4.355 4.887
224.4 4.324 4.887
224.9 4.3 4.887
225.4 4.31 4.887
225.9 4.332 4.887
226.4 4.3 4.887
226.9 4.33 4.887
227.4 4.34 4.887
227.9 4.305 4.887
228.4 4.3 4.887
228.9 4.336 4.887
229.4 4.312 4.887
229.9 4.312 4.887
230.4 4.355 4.887
230.9 4.32 4.887
231.4 4.297 4.887
231.9 4.32 4.887
232.4 4.336 4.887
232.9 4.32 4.887
233.4 4.312 4.887
233.9 4.332 4.887
234.4 4.312 4.887
234.9 4.28 4.887
235.4 4.336 4.887
235.9 4.324 4.887
236.4 4.297 4.887
236.9 4.316 4.887
237.4 4.312 4.887
237.9 4.297 4.887
238.4 4.305 4.887
238.9 4.344 4.887
239.4 4.29 4.887
239.9 4.277 4.887
240.4 4.32 4.887
240.9 4.348 4.887
241.4 4.305 4.887
241.9 4.31 4.887
242.4 4.324 4.887
242.9 4.316 4.887
243.4 4.316 4.887
243.9 4.316 4.887
244.4 4.31 4.887
244.9 4.29 4.887
245.4 4.324 4.887
245.9 4.312 4.887
246.4 4.31 4.887
246.9 4.31 4.887
247.4 4.32 4.887
247.9 4.316 4.887
248.4 4.305 4.887
248.9 4.324 4.887
249.4 4.31 4.887
249.9 4.29 4.887
250.4 4.32 4.887
250.9 4.344 4.887
251.4 4.3 4.887
251.9 4.29 4.887
252.4 4.32 4.887
252.9 4.332 4.887
253.4 4.293 4.887
253.9 4.31 4.887
254.4 4.32 4.887
254.9 4.316 4.887
