x y_gt y_pr
0.0 0.01521 0.0
0.5 0.1653 0.2502
1.0 0.3064 0.4917
1.499 0.5015 0.7246
1.999 0.668 0.95
2.498 0.768 1.169
2.998 0.9214 1.38
3.498 1.096 1.585
3.998 1.206 1.784
4.5 1.35 1.979
5.0 1.515 2.166
5.5 1.63 2.35
5.996 1.767 2.527
6.496 1.933 2.701
6.996 2.047 2.871
7.496 2.17 3.037
7.996 2.348 3.2
8.49 2.47 3.36
8.99 2.578 3.516
9.49 2.744 3.668
9.99 2.865 3.816
10.47 3.016 3.957
10.97 3.125 4.1
11.47 3.297 4.246
11.97 3.451 4.383
12.47 3.555 4.523
12.96 3.725 4.656
13.46 3.875 4.793
13.96 3.982 4.92
14.46 4.145 5.055
14.96 4.33 5.184
15.46 4.44 5.312
15.96 4.598 5.438
16.47 4.8 5.562
16.97 4.88 5.688
17.47 5.047 5.812
17.97 5.203 5.934
18.47 5.324 6.055
18.97 5.473 6.176
19.47 5.64 6.293
19.97 5.785 6.41
20.47 5.902 6.53
20.95 6.082 6.645
21.45 6.234 6.76
21.95 6.355 6.88
22.45 6.5 6.992
22.95 6.676 7.11
23.45 6.81 7.223
23.95 6.938 7.336
24.45 7.11 7.45
24.95 7.266 7.562
25.45 7.38 7.67
25.95 7.543 7.785
26.45 7.703 7.9
26.95 7.836 8.01
27.45 7.98 8.12
27.95 8.16 8.234
28.45 8.27 8.34
28.95 8.4 8.45
29.45 8.59 8.56
29.95 8.72 8.67
30.45 8.58 8.76
30.95 8.445 8.664
31.45 8.31 8.58
31.95 8.25 8.49
32.44 8.2 8.41
32.94 8.125 8.336
33.44 8.086 8.266
33.94 8.09 8.2
34.44 8.02 8.14
34.94 7.973 8.08
35.44 7.97 8.02
35.94 7.95 7.977
36.44 7.902 7.93
36.94 7.89 7.883
37.44 7.89 7.84
37.94 7.844 7.8
38.44 7.82 7.766
38.94 7.824 7.73
39.44 7.812 7.7
39.94 7.773 7.668
40.44 7.746 7.64
40.94 7.74 7.613
41.44 7.715 7.586
41.94 7.715 7.562
42.44 7.7 7.543
42.94 7.69 7.52
43.44 7.656 7.5
43.94 7.67 7.484
44.44 7.676 7.465
44.94 7.613 7.45
45.44 7.633 7.434
45.94 7.637 7.42
46.44 7.59 7.406
46.94 7.598 7.395
47.44 7.617 7.383
47.94 7.598 7.37
48.44 7.55 7.363
48.94 7.586 7.35
49.44 7.55 7.344
49.94 7.53 7.336
50.44 7.53 7.33
50.94 7.543 7.32
51.44 7.5 7.312
51.94 7.543 7.305
52.44 7.55 7.3
52.94 7.496 7.293
53.44 7.5 7.29
53.94 7.523 7.285
54.44 7.49 7.277
54.94 7.484 7.273
55.44 7.5 7.27
55.94 7.47 7.266
56.44 7.438 7.26
56.94 7.477 7.258
57.44 7.473 7.258
57.94 7.42 7.254
58.44 7.477 7.25
58.94 7.44 7.246
59.44 7.402 7.246
59.94 7.44 7.242
60.44 7.43 7.242
60.94 7.4 7.24
61.44 7.406 7.24
61.94 7.434 7.234
62.44 7.38 7.234
62.94 7.375 7.23
63.44 7.383 7.23
63.94 7.363 7.23
64.44 7.363 7.227
64.94 7.38 7.227
65.44 7.348 7.227
65.94 7.36 7.223
66.44 7.36 7.223
66.94 7.38 7.223
67.44 7.32 7.223
67.94 7.37 7.22
68.44 7.35 7.22
68.94 7.312 7.22
69.44 7.35 7.22
69.94 7.336 7.22
70.44 7.293 7.215
70.94 7.324 7.215
71.44 7.35 7.215
71.94 7.29 7.215
72.44 7.305 7.215
72.94 7.35 7.215
73.44 7.293 7.215
73.94 7.31 7.215
74.44 7.312 7.21
74.94 7.28 7.21
75.44 7.277 7.21
75.94 7.332 7.21
76.44 7.285 7.21
76.94 7.277 7.21
77.44 7.3 7.21
77.94 7.26 7.21
78.44 7.273 7.21
78.94 7.305 7.21
79.44 7.26 7.21
79.94 7.254 7.21
80.44 7.297 7.21
80.94 7.28 7.21
81.44 7.22 7.21
81.94 7.26 7.21
82.44 7.266 7.21
82.94 7.234 7.21
83.44 7.258 7.21
83.94 7.246 7.207
84.44 7.227 7.207
84.94 7.246 7.207
85.44 7.258 7.207
85.94 7.22 7.207
86.44 7.23 7.207
86.94 7.24 7.207
87.44 7.234 7.207
87.94 7.215 7.207
88.44 7.23 7.207
88.94 7.215 7.207
89.44 7.223 7.207
89.94 7.184 7.207
90.44 7.21 7.207
90.94 7.19 7.207
91.44 7.203 7.207
91.94 7.227 7.207
92.44 7.195 7.207
92.94 7.19 7.207
93.44 7.207 7.207
93.94 7.195 7.207
94.44 7.168 7.207
94.94 7.2 7.207
95.4 7.207 7.207
95.9 7.164 7.207
96.4 7.19 7.207
96.9 7.207 7.207
97.4 7.156 7.207
97.9 7.164 7.207
98.4 7.184 7.207
98.9 7.145 7.207
99.4 7.16 7.207
99.9 7.203 7.207
100.4 7.13 7.207
100.9 7.145 7.207
101.4 7.18 7.207
101.9 7.16 7.207
102.4 7.137 7.207
102.9 7.184 7.207
103.4 7.168 7.207
103.9 7.133 7.207
104.4 7.15 7.207
104.9 7.15 7.207
105.4 7.137 7.207
105.9 7.16 7.207
106.4 7.137 7.207
106.9 7.133 7.207
107.4 7.13 7.207
107.9 7.13 7.207
108.4 7.145 7.207
108.9 7.125 7.207
109.4 7.12 7.207
109.9 7.145 7.207
110.4 7.137 7.207
110.9 7.13 7.207
111.4 7.145 7.207
111.9 7.133 7.207
112.4 7.11 7.207
112.9 7.133 7.207
113.4 7.156 7.207
113.9 7.098 7.207
114.4 7.117 7.207
114.9 7.133 7.207
115.4 7.11 7.207
115.9 7.1 7.207
116.4 7.137 7.207
116.9 7.1 7.207
117.4 7.105 7.207
117.9 7.14 7.207
118.4 7.094 7.207
118.9 7.08 7.207
119.4 7.125 7.207
119.9 7.125 7.207
120.4 7.074 7.207
120.9 7.113 7.207
121.4 7.117 7.207
121.9 7.062 7.207
122.4 7.094 7.207
122.9 7.125 7.207
123.4 7.074 7.207
123.9 7.07 7.207
124.4 7.12 7.207
124.9 7.08 7.207
125.4 7.062 7.207
125.9 7.09 7.207
126.4 7.098 7.207
126.9 7.043 7.207
127.4 7.074 7.207
127.9 7.09 7.207
128.4 7.062 7.207
128.9 7.06 7.207
129.4 7.09 7.207
129.9 7.074 7.207
130.4 7.043 7.207
130.9 7.08 7.207
131.4 7.08 7.207
131.9 7.043 7.207
132.4 7.074 7.207
132.9 7.07 7.207
133.4 7.066 7.207
133.9 7.047 7.207
134.4 7.07 7.207
134.9 7.055 7.207
135.4 7.04 7.207
135.9 7.055 7.207
136.4 7.06 7.207
136.9 7.03 7.207
137.4 7.043 7.207
137.9 7.05 7.207
138.4 7.027 7.207
138.9 7.047 7.207
139.4 7.07 7.207
139.9 7.04 7.207
140.4 7.047 7.207
140.9 7.05 7.207
141.4 7.035 7.207
141.9 7.05 7.207
142.4 7.04 7.207
142.9 7.03 7.207
143.4 7.035 7.207
143.9 7.062 7.207
144.4 7.04 7.207
144.9 7.016 7.207
145.4 7.05 7.207
145.9 7.043 7.207
146.4 7.004 7.207
146.9 7.02 7.207
147.4 7.03 7.207
147.9 7.027 7.207
148.4 7.02 7.207
148.9 7.027 7.207
149.4 6.996 7.207
149.9 7.004 7.207
150.4 7.04 7.207
150.9 7.03 7.207
151.4 7.008 7.207
151.9 7.004 7.207
152.4 7.02 7.207
152.9 7.004 7.207
153.4 7.023 7.207
153.9 7.02 7.207
154.4 7.0 7.207
154.9 7.016 7.207
155.4 7.01 7.207
155.9 6.996 7.207
156.4 7.008 7.207
156.9 7.016 7.207
157.4 7.016 7.207
157.9 6.992 7.207
158.4 7.01 7.207
158.9 7.023 7.207
159.4 6.99 7.207
159.9 6.992 7.207
160.4 7.01 7.207
160.9 7.0 7.207
161.4 6.98 7.207
161.9 7.008 7.207
162.4 7.004 7.207
162.9 6.984 7.207
163.4 7.004 7.207
163.9 7.008 7.207
164.4 6.957 7.207
164.9 7.008 7.207
165.4 7.01 7.207
165.9 7.0 7.207
166.4 6.965 7.207
166.9 7.0 7.207
167.4 6.99 7.207
167.9 6.977 7.207
168.4 7.008 7.207
168.9 6.973 7.207
169.4 6.973 7.207
169.9 7.004 7.207
170.4 7.0 7.207
170.9 6.957 7.207
171.4 6.996 7.207
171.9 7.0 7.207
172.4 6.97 7.207
172.9 6.977 7.207
173.4 6.973 7.207
173.9 6.992 7.207
174.4 6.95 7.207
174.9 6.992 7.207
175.4 6.97 7.207
175.9 6.945 7.207
176.4 6.984 7.207
176.9 6.99 7.207
177.4 6.96 7.207
177.9 6.977 7.207
178.4 6.98 7.207
178.9 6.953 7.207
179.4 6.977 7.207
179.9 6.98 7.207
180.4 6.965 7.207
180.9 6.953 7.207
181.4 6.98 7.207
181.9 6.957 7.207
182.4 6.957 7.207
182.9 6.973 7.207
183.4 6.99 7.207
183.9 6.94 7.207
184.4 6.96 7.207
184.9 6.98 7.207
185.4 6.96 7.207
185.9 6.96 7.207
186.4 6.965 7.207
186.9 6.945 7.207
187.4 6.945 7.207
187.9 6.973 7.207
188.4 6.96 7.207
188.9 6.953 7.207
189.4 6.97 7.207
189.9 6.973 7.207
190.4 6.918 7.207
190.9 6.945 7.207
191.4 6.97 7.207
191.9 6.953 7.207
192.4 6.94 7.207
192.9 6.957 7.207
193.4 6.92 7.207
193.9 6.94 7.207
194.4 6.953 7.207
194.9 6.94 7.207
195.4 6.93 7.207
195.9 6.953 7.207
196.4 6.94 7.207
196.9 6.934 7.207
197.4 6.953 7.207
197.9 6.97 7.207
198.4 6.93 7.207
198.9 6.93 7.207
199.4 6.94 7.207
199.9 6.926 7.207
200.4 6.938 7.207
200.9 6.957 7.207
201.4 6.94 7.207
201.9 6.918 7.207
202.4 6.934 7.207
202.9 6.965 7.207
203.4 6.926 7.207
203.9 6.938 7.207
204.4 6.938 7.207
204.9 6.91 7.207
205.4 6.926 7.207
205.9 6.953 7.207
206.4 6.902 7.207
206.9 6.93 7.207
207.4 6.95 7.207
207.9 6.914 7.207
208.4 6.89 7.207
208.9 6.934 7.207
209.4 6.94 7.207
209.9 6.89 7.207
210.4 6.945 7.207
210.9 6.938 7.207
211.4 6.902 7.207
211.9 6.914 7.207
212.4 6.945 7.207
212.9 6.91 7.207
213.4 6.902 7.207
213.9 6.95 7.207
214.4 6.91 7.207
214.9 6.887 7.207
215.4 6.96 7.207
215.9 6.906 7.207
216.4 6.9 7.207
216.9 6.918 7.207
217.4 6.906 7.207
217.9 6.883 7.207
218.4 6.926 7.207
218.9 6.93 7.207
219.4 6.9 7.207
219.9 6.918 7.207
220.4 6.938 7.207
220.9 6.902 7.207
221.4 6.895 7.207
221.9 6.92 7.207
222.4 6.918 7.207
222.9 6.9 7.207
223.4 6.926 7.207
223.9 6.918 7.207
224.4 6.895 7.207
224.9 6.926 7.207
225.4 6.914 7.207
225.9 6.9 7.207
226.4 6.895 7.207
226.9 6.93 7.207
227.4 6.89 7.207
227.9 6.9 7.207
228.4 6.91 7.207
228.9 6.91 7.207
229.4 6.9 7.207
229.9 6.9 7.207
230.4 6.902 7.207
230.9 6.895 7.207
231.4 6.88 7.207
231.9 6.906 7.207
232.4 6.895 7.207
232.9 6.887 7.207
233.4 6.875 7.207
233.9 6.9 7.207
234.4 6.906 7.207
234.9 6.89 7.207
235.4 6.906 7.207
235.9 6.902 7.207
236.4 6.875 7.207
236.9 6.906 7.207
237.4 6.91 7.207
237.9 6.867 7.207
238.4 6.87 7.207
238.9 6.93 7.207
239.4 6.855 7.207
239.9 6.88 7.207
240.4 6.918 7.207
240.9 6.88 7.207
241.4 6.87 7.207
241.9 6.89 7.207
242.4 6.906 7.207
242.9 6.848 7.207
243.4 6.9 7.207
243.9 6.902 7.207
244.4 6.855 7.207
244.9 6.883 7.207
245.4 6.914 7.207
245.9 6.87 7.207
246.4 6.87 7.207
246.9 6.906 7.207
247.4 6.88 7.207
247.9 6.863 7.207
248.4 6.88 7.207
248.9 6.88 7.207
249.4 6.848 7.207
249.9 6.902 7.207
250.4 6.895 7.207
250.9 6.867 7.207
251.4 6.875 7.207
251.9 6.87 7.207
252.4 6.86 7.207
252.9 6.87 7.207
253.4 6.89 7.207
253.9 6.86 7.207
254.4 6.875 7.207
254.9 6.887 7.207
255.4 6.855 7.207
255.9 6.863 7.207
256.2 6.89 7.207
256.8 6.86 7.207
257.2 6.88 7.207
257.8 6.9 7.207
258.2 6.863 7.207
258.8 6.83 7.207
259.2 6.91 7.207
259.8 6.88 7.207
260.2 6.836 7.207
260.8 6.863 7.207
261.2 6.883 7.207
261.8 6.855 7.207
262.2 6.867 7.207
262.8 6.875 7.207
263.2 6.855 7.207
263.8 6.863 7.207
264.2 6.895 7.207
264.8 6.848 7.207
265.2 6.848 7.207
265.8 6.87 7.207
266.2 6.87 7.207
266.8 6.836 7.207
267.2 6.867 7.207
267.8 6.887 7.207
268.2 6.85 7.207
268.8 6.867 7.207
269.2 6.89 7.207
269.8 6.848 7.207
270.2 6.836 7.207
270.8 6.883 7.207
271.2 6.88 7.207
271.8 6.824 7.207
272.2 6.867 7.207
272.8 6.86 7.207
273.2 6.86 7.207
273.8 6.86 7.207
274.2 6.867 7.207
274.8 6.836 7.207
275.2 6.855 7.207
275.8 6.867 7.207
276.2 6.82 7.207
276.8 6.844 7.207
277.2 6.86 7.207
277.8 6.86 7.207
278.2 6.85 7.207
278.8 6.863 7.207
279.2 6.84 7.207
279.8 6.84 7.207
280.2 6.88 7.207
280.8 6.848 7.207
281.2 6.832 7.207
281.8 6.848 7.207
282.2 6.867 7.207
282.8 6.844 7.207
283.2 6.848 7.207
283.8 6.85 7.207
284.2 6.836 7.207
284.8 6.87 7.207
285.2 6.863 7.207
285.8 6.816 7.207
286.2 6.83 7.207
286.8 6.86 7.207
287.2 6.84 7.207
287.8 6.83 7.207
288.2 6.848 7.207
288.8 6.844 7.207
289.2 6.81 7.207
289.8 6.875 7.207
290.2 6.84 7.207
290.8 6.816 7.207
291.2 6.832 7.207
291.8 6.836 7.207
292.2 6.82 7.207
292.8 6.855 7.207
293.2 6.85 7.207
293.8 6.805 7.207
294.2 6.836 7.207
294.8 6.867 7.207
295.2 6.83 7.207
