x y_gt y_pr
0.0 0.02513 0.0
0.5 0.11536 0.04324
1.0 0.3096 0.1304
1.499 0.4504 0.2361
1.999 0.5825 0.351
2.498 0.7104 0.4717
2.998 0.861 0.596
3.498 0.9795 0.724
3.998 1.11 0.8545
4.5 1.246 0.987
5.0 1.372 1.121
5.5 1.487 1.256
5.996 1.64 1.392
6.496 1.774 1.528
6.996 1.889 1.666
7.496 2.012 1.805
7.996 2.178 1.943
8.49 2.266 2.084
8.99 2.385 2.223
9.49 2.576 2.361
9.99 2.707 2.502
10.47 2.79 2.637
10.97 2.922 2.777
11.47 3.086 2.916
11.97 3.219 3.057
12.47 3.355 3.197
12.96 3.512 3.338
13.46 3.646 3.479
13.96 3.76 3.62
14.46 3.922 3.76
14.96 4.062 3.9
15.46 4.18 4.04
15.96 4.305 4.18
16.47 4.457 4.32
16.97 4.594 4.46
17.47 4.71 4.6
17.97 4.887 4.742
18.47 5.03 4.883
18.97 5.133 5.023
19.47 5.293 5.164
19.97 5.426 5.305
20.47 5.305 5.3
20.95 5.22 5.28
21.45 5.18 5.27
21.95 5.08 5.254
22.45 5.086 5.242
22.95 5.06 5.23
23.45 5.01 5.22
23.95 4.965 5.207
24.45 4.984 5.195
24.95 4.934 5.184
25.45 4.906 5.17
25.95 4.9 5.16
26.45 4.906 5.15
26.95 4.87 5.137
27.45 4.867 5.125
27.95 4.86 5.113
28.45 4.844 5.105
28.95 4.83 5.094
29.45 4.83 5.082
29.95 4.824 5.074
30.45 4.777 5.062
30.95 4.785 5.055
31.45 4.82 5.043
31.95 4.777 5.035
32.44 4.754 5.023
32.94 4.75 5.016
33.44 4.773 5.008
33.94 4.742 4.996
34.44 4.74 4.99
34.94 4.734 4.98
35.44 4.72 4.973
35.94 4.72 4.96
36.44 4.71 4.953
36.94 4.68 4.945
37.44 4.668 4.938
37.94 4.68 4.93
38.44 4.695 4.92
38.94 4.67 4.914
39.44 4.645 4.906
39.94 4.684 4.9
40.44 4.664 4.89
40.94 4.66 4.883
41.44 4.637 4.875
41.94 4.684 4.867
42.44 4.645 4.86
42.94 4.63 4.855
43.44 4.64 4.848
43.94 4.62 4.84
44.44 4.625 4.832
44.94 4.633 4.83
45.44 4.625 4.82
45.94 4.6 4.812
46.44 4.6 4.81
46.94 4.63 4.8
47.44 4.63 4.793
47.94 4.582 4.79
48.44 4.62 4.78
48.94 4.586 4.777
49.44 4.598 4.77
49.94 4.582 4.766
50.44 4.613 4.758
50.94 4.59 4.754
51.44 4.57 4.746
51.94 4.59 4.742
52.44 4.59 4.734
52.94 4.574 4.73
53.44 4.574 4.727
53.94 4.56 4.72
54.44 4.555 4.715
54.94 4.562 4.71
55.44 4.582 4.703
55.94 4.547 4.7
56.44 4.56 4.695
56.94 4.55 4.69
57.44 4.56 4.684
57.94 4.535 4.68
58.44 4.547 4.676
58.94 4.574 4.67
59.44 4.543 4.668
59.94 4.527 4.66
60.44 4.55 4.656
60.94 4.555 4.652
61.44 4.547 4.65
61.94 4.55 4.645
62.44 4.516 4.64
62.94 4.527 4.637
63.44 4.527 4.633
63.94 4.547 4.63
64.44 4.535 4.625
64.94 4.508 4.62
65.44 4.53 4.617
65.94 4.535 4.613
66.44 4.535 4.61
66.94 4.52 4.605
67.44 4.543 4.6
67.94 4.52 4.598
68.44 4.48 4.594
68.94 4.516 4.59
69.44 4.523 4.586
69.94 4.49 4.582
70.44 4.5 4.58
70.94 4.52 4.58
71.44 4.49 4.574
71.94 4.504 4.57
72.44 4.508 4.566
72.94 4.49 4.562
73.44 4.5 4.56
73.94 4.508 4.56
74.44 4.496 4.555
74.94 4.47 4.55
75.44 4.492 4.547
75.94 4.516 4.547
76.44 4.48 4.543
76.94 4.49 4.54
77.44 4.492 4.535
77.94 4.48 4.535
78.44 4.48 4.53
78.94 4.496 4.527
79.44 4.5 4.523
79.94 4.44 4.523
80.44 4.492 4.52
80.94 4.49 4.516
81.44 4.45 4.516
81.94 4.496 4.51
82.44 4.504 4.51
82.94 4.47 4.508
83.44 4.453 4.504
83.94 4.484 4.504
84.44 4.48 4.5
84.94 4.453 4.496
85.44 4.48 4.496
85.94 4.48 4.492
86.44 4.43 4.492
86.94 4.465 4.49
87.44 4.5 4.49
87.94 4.45 4.484
88.44 4.453 4.48
88.94 4.49 4.48
89.44 4.453 4.477
89.94 4.453 4.477
90.44 4.48 4.473
90.94 4.48 4.473
91.44 4.434 4.47
91.94 4.465 4.47
92.44 4.47 4.465
92.94 4.434 4.465
93.44 4.445 4.46
93.94 4.49 4.46
94.44 4.457 4.457
94.94 4.426 4.457
95.4 4.45 4.453
95.9 4.445 4.453
96.4 4.426 4.453
96.9 4.46 4.45
97.4 4.44 4.45
97.9 4.434 4.445
98.4 4.453 4.445
98.9 4.45 4.44
99.4 4.418 4.44
99.9 4.445 4.44
100.4 4.47 4.438
100.9 4.445 4.438
101.4 4.43 4.434
101.9 4.457 4.434
102.4 4.43 4.434
102.9 4.395 4.43
103.4 4.44 4.43
103.9 4.43 4.43
104.4 4.406 4.426
104.9 4.42 4.426
105.4 4.445 4.42
105.9 4.426 4.42
106.4 4.414 4.42
106.9 4.45 4.418
107.4 4.414 4.418
107.9 4.41 4.418
108.4 4.43 4.414
108.9 4.438 4.414
109.4 4.402 4.414
109.9 4.414 4.41
110.4 4.453 4.41
110.9 4.4 4.41
111.4 4.41 4.41
111.9 4.434 4.406
112.4 4.41 4.406
112.9 4.387 4.406
113.4 4.438 4.402
113.9 4.434 4.402
114.4 4.402 4.402
114.9 4.445 4.402
115.4 4.414 4.4
115.9 4.4 4.4
116.4 4.402 4.4
116.9 4.426 4.395
117.4 4.406 4.395
117.9 4.402 4.395
118.4 4.418 4.395
118.9 4.42 4.39
119.4 4.387 4.39
119.9 4.4 4.39
120.4 4.402 4.39
120.9 4.4 4.387
121.4 4.42 4.387
121.9 4.434 4.387
122.4 4.426 4.387
122.9 4.39 4.387
123.4 4.43 4.383
123.9 4.395 4.383
124.4 4.39 4.383
124.9 4.39 4.383
125.4 4.402 4.383
125.9 4.4 4.38
126.4 4.41 4.38
126.9 4.418 4.38
127.4 4.39 4.38
127.9 4.375 4.375
128.4 4.4 4.375
128.9 4.383 4.375
129.4 4.383 4.375
129.9 4.41 4.375
130.4 4.4 4.375
130.9 4.37 4.37
131.4 4.383 4.37
131.9 4.395 4.37
132.4 4.375 4.37
132.9 4.38 4.37
133.4 4.406 4.367
133.9 4.41 4.367
134.4 4.387 4.367
134.9 4.4 4.367
135.4 4.383 4.367
135.9 4.37 4.367
136.4 4.395 4.363
136.9 4.387 4.363
137.4 4.4 4.363
137.9 4.367 4.363
138.4 4.414 4.363
138.9 4.387 4.363
139.4 4.383 4.363
139.9 4.395 4.36
140.4 4.383 4.36
140.9 4.37 4.36
141.4 4.383 4.36
141.9 4.39 4.36
142.4 4.38 4.36
142.9 4.38 4.36
143.4 4.39 4.355
143.9 4.38 4.355
144.4 4.363 4.355
144.9 4.355 4.355
145.4 4.383 4.355
145.9 4.37 4.355
146.4 4.38 4.355
146.9 4.395 4.355
147.4 4.363 4.35
147.9 4.367 4.35
148.4 4.38 4.35
148.9 4.41 4.35
149.4 4.375 4.35
149.9 4.418 4.35
150.4 4.41 4.35
150.9 4.355 4.35
151.4 4.36 4.35
151.9 4.38 4.348
152.4 4.355 4.348
152.9 4.35 4.348
153.4 4.387 4.348
153.9 4.367 4.348
154.4 4.36 4.348
154.9 4.387 4.348
155.4 4.367 4.348
155.9 4.363 4.348
156.4 4.383 4.348
156.9 4.39 4.344
157.4 4.344 4.344
157.9 4.383 4.344
158.4 4.37 4.344
158.9 4.336 4.344
159.4 4.367 4.344
159.9 4.414 4.344
160.4 4.363 4.344
160.9 4.336 4.344
161.4 4.355 4.344
161.9 4.355 4.344
162.4 4.336 4.344
162.9 4.41 4.34
163.4 4.367 4.34
163.9 4.332 4.34
164.4 4.375 4.34
164.9 4.367 4.34
165.4 4.34 4.34
165.9 4.35 4.34
166.4 4.38 4.34
166.9 4.35 4.34
167.4 4.348 4.34
167.9 4.36 4.34
168.4 4.34 4.34
168.9 4.332 4.34
169.4 4.363 4.336
169.9 4.35 4.336
170.4 4.336 4.336
170.9 4.367 4.336
171.4 4.383 4.336
171.9 4.332 4.336
172.4 4.332 4.336
172.9 4.36 4.336
173.4 4.332 4.336
173.9 4.363 4.336
174.4 4.375 4.336
174.9 4.35 4.336
175.4 4.348 4.336
175.9 4.35 4.336
176.4 4.348 4.336
176.9 4.32 4.336
177.4 4.38 4.332
177.9 4.38 4.332
178.4 4.34 4.332
178.9 4.355 4.332
179.4 4.35 4.332
179.9 4.336 4.332
180.4 4.332 4.332
180.9 4.36 4.332
181.4 4.33 4.332
181.9 4.348 4.332
182.4 4.36 4.332
182.9 4.336 4.332
183.4 4.31 4.332
183.9 4.348 4.332
184.4 4.35 4.332
184.9 4.32 4.332
185.4 4.344 4.332
185.9 4.375 4.332
186.4 4.33 4.332
186.9 4.33 4.332
187.4 4.355 4.33
187.9 4.33 4.33
188.4 4.363 4.33
188.9 4.355 4.33
189.4 4.33 4.33
189.9 4.324 4.33
