x y_gt y_nn y_rg
0.0 0.0 0.0 0.0
0.1937 1.466 2.031 2.43
0.3875 2.932 3.322 3.754
0.581 4.4 4.664 5.07
0.775 5.863 6.066 6.38
0.9688 7.332 7.5 7.68
1.162 8.8 8.96 8.97
1.356 10.266 10.38 10.26
1.55 11.73 11.76 11.57
1.744 13.195 12.914 12.81
1.9375 14.664 12.96 12.99
2.26 13.96 12.59 12.914
2.584 13.4 12.38 12.87
2.906 12.94 12.24 12.81
3.875 12.51 11.99 12.67
5.582 11.98 11.766 12.44
8.23 11.64 11.54 12.1
11.46 11.305 11.32 11.74
19.89 10.79 10.88 10.984
24.27 10.61 10.695 10.68
28.64 10.46 10.54 10.42
33.0 10.36 10.39 10.2
37.38 10.28 10.266 10.016
41.75 10.21 10.16 9.85
46.12 10.14 10.055 9.72
50.5 10.07 9.96 9.6
59.25 9.945 9.81 9.414
63.62 9.9 9.74 9.34
68.0 9.85 9.69 9.27
72.4 9.805 9.63 9.23
76.75 9.75 9.586 9.18
81.1 9.7 9.54 9.13
85.5 9.664 9.5 9.1
89.9 9.63 9.46 9.07
98.6 9.57 9.4 9.02
103.0 9.55 9.37 9.0
107.4 9.516 9.336 8.984
111.75 9.484 9.31 8.97
116.1 9.45 9.29 8.96
120.44 9.42 9.266 8.945
124.8 9.39 9.25 8.94
129.2 9.37 9.23 8.93
138.0 9.32 9.195 8.92
142.4 9.3 9.18 8.914
146.8 9.27 9.164 8.91
151.1 9.24 9.16 8.91
155.5 9.21 9.14 8.9
159.9 9.17 9.125 8.9
164.2 9.16 9.12 8.89
168.6 9.15 9.11 8.89
177.4 9.125 9.086 8.89
181.8 9.125 9.08 8.88
186.0 9.11 9.07 8.88
190.4 9.09 9.06 8.88
194.8 9.086 9.055 8.88
199.1 9.07 9.05 8.88
203.5 9.055 9.05 8.88
207.9 9.04 9.04 8.875
216.6 8.99 9.02 8.875
221.0 8.97 9.02 8.875
225.4 8.945 9.016 8.875
229.8 8.92 9.016 8.875
234.1 8.914 9.01 8.875
238.5 8.9 9.01 8.875
242.9 8.89 9.0 8.875
247.2 8.88 9.0 8.875
256.0 8.87 8.99 8.87
260.5 8.86 8.99 8.87
264.8 8.85 8.99 8.87
269.2 8.84 8.99 8.87
273.5 8.82 8.99 8.87
278.0 8.8 8.984 8.87
282.2 8.79 8.984 8.87
286.8 8.78 8.984 8.87
295.5 8.75 8.984 8.87
