Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0000","0.0981"
"0.0100","0.0000","0.4679"
"0.0200","0.0000","0.6085"
"0.0300","0.0000","0.6346"
"0.0400","0.0001","0.6107"
"0.0500","0.0001","0.7734"
"0.0600","0.0002","0.7416"
"0.0700","0.0004","0.1013"
"0.0800","0.0006","-0.7888"
"0.0900","0.0009","-1.0493"
"0.1000","0.0014","-0.2458"
"0.1100","0.0019","0.8012"
"0.1200","0.0025","0.1930"
"0.1300","0.0029","0.6470"
"0.1400","0.0031","1.2490"
"0.1500","0.0032","0.7881"
"0.1600","0.0033","0.4648"
"0.1700","0.0034","-0.4259"
"0.1800","0.0035","-0.3469"
"0.1900","0.0036","0.1003"
"0.2000","0.0039","0.7041"
"0.2100","0.0044","0.7579"
"0.2200","0.0052","1.1691"
"0.2300","0.0065","1.8193"
"0.2400","0.0080","2.5706"
"0.2500","0.0098","2.7822"
"0.2600","0.0116","2.6356"
"0.2700","0.0133","1.8917"
"0.2800","0.0150","1.0491"
"0.2900","0.0166","0.6233"
"0.3000","0.0180","0.6805"
"0.3100","0.0194","1.2220"
"0.3200","0.0206","2.0638"
"0.3300","0.0218","2.8904"
"0.3400","0.0230","3.5241"
"0.3500","0.0241","3.5935"
"0.3600","0.0252","3.4811"
"0.3700","0.0263","3.4553"
"0.3800","0.0275","3.4215"
"0.3900","0.0286","3.2563"
"0.4000","0.0298","2.8520"
"0.4100","0.0311","2.4020"
"0.4200","0.0322","2.6042"
"0.4300","0.0334","3.3200"
"0.4400","0.0345","4.0510"
"0.4500","0.0356","4.4444"
"0.4600","0.0366","4.6761"
"0.4700","0.0376","4.8599"
"0.4800","0.0385","4.6535"
"0.4900","0.0394","4.0070"
"0.5000","0.0404","3.6062"
"0.5100","0.0413","3.8426"
"0.5200","0.0422","4.2360"
"0.5300","0.0431","4.5946"
"0.5400","0.0439","4.8855"
"0.5500","0.0448","5.2492"
"0.5600","0.0457","5.5009"
"0.5700","0.0465","5.6408"
"0.5800","0.0474","5.4365"
"0.5900","0.0483","5.0979"
"0.6000","0.0492","4.5399"
"0.6100","0.0502","4.7390"
"0.6200","0.0513","5.5522"
"0.6300","0.0524","6.2405"
"0.6400","0.0535","6.1935"
"0.6500","0.0547","5.7958"
"0.6600","0.0559","6.0258"
"0.6700","0.0570","6.1865"
"0.6800","0.0582","6.1086"
"0.6900","0.0593","6.0058"
"0.7000","0.0605","6.3871"
"0.7100","0.0616","6.4665"
"0.7200","0.0626","6.1238"
"0.7300","0.0637","5.6598"
"0.7400","0.0647","6.0805"
"0.7500","0.0657","6.9591"
"0.7600","0.0666","7.5327"
"0.7700","0.0676","7.6126"
"0.7800","0.0686","7.4643"
"0.7900","0.0695","7.6173"
"0.8000","0.0704","7.4158"
"0.8100","0.0713","6.9352"
"0.8200","0.0723","6.5538"
"0.8300","0.0732","6.7571"
"0.8400","0.0741","7.0297"
"0.8500","0.0750","7.4990"
"0.8600","0.0759","8.0885"
"0.8700","0.0769","8.6971"
"0.8800","0.0778","8.8188"
"0.8900","0.0787","8.6708"
"0.9000","0.0796","8.3792"
"0.9100","0.0805","7.9132"
"0.9200","0.0815","7.4002"
"0.9300","0.0826","7.3668"
"0.9400","0.0836","8.0345"
